総合順位	No.	氏名	年齢	性別	居住地	総合記録	SWIM	Ｓ順	バイク	Ｂ順	スプリット	通過	ラン	Ｒ順	男子順位	女子順位	年齢区分	年齢別順
202	302	阿部 雅也	50	男	新潟県	2:51:23	0:31:38	177	1:18:54	183	1:50:32	179	1:00:51	246	177		50-54男子	34
203	409	瀬賀 吉幸	56	男	新潟県	2:51:31	0:36:03	319	1:24:24	257	2:00:27	279	0:51:04	104	178		55-59男子	21
204	352	小山 秀樹	53	男	長野県	2:51:38	0:35:03	289	1:22:36	231	1:57:39	251	0:53:59	142	179		50-54男子	35
205	445	山口  智	58	男	石川県	2:51:51	0:31:04	163	1:21:17	221	1:52:21	193	0:59:30	232	180		55-59男子	22
206	208	須藤 栄太郎	42	男	新潟県	2:52:05	0:34:54	283	1:20:54	217	1:55:48	228	0:56:17	181	181		40-44男子	15
207	659	野口 明子	57	女	新潟県	2:52:24	0:32:47	219	1:22:13	227	1:55:00	219	0:57:24	202		26	55-59女子	4
208	609	藤崎 まりの	27	女	東京都	2:52:30	0:29:00	101	1:25:34	270	1:54:34	217	0:57:56	211		27	25-29女子	2
209	381	永田 英孝	54	男	大阪府	2:53:00	0:30:17	138	1:15:40	137	1:45:57	126	1:07:03	327	182		50-54男子	36
210	199	生神 敏基	40	男	新潟県	2:53:16	0:34:51	280	1:20:45	214	1:55:36	227	0:57:40	208	183		40-44男子	16
211	307	本間 貴也	50	男	新潟県	2:54:00	0:31:26	172	1:21:01	218	1:52:27	194	1:01:33	262	184		50-54男子	37
212	7	野口 歩実	25	女	新潟県	2:54:00	0:27:08	60	1:23:20	245	1:50:28	178	1:03:32	287		28	25-29女子	3
213	223	登坂 孝範	44	男	宮城県	2:54:22	0:36:38	335	1:23:02	239	1:59:40	272	0:54:42	157	185		40-44男子	17
214	178	松下  達也	37	男	東京都	2:54:23	0:28:51	95	1:30:32	342	1:59:23	270	0:55:00	161	186		35-39男子	15
215	102	汲田  知己	18	男	東京都	2:54:28	0:29:38	120	1:28:15	308	1:57:53	254	0:56:35	188	187		10代男子	6
216	108	菅野 貴也	20	男	福島県	2:54:37	0:36:39	336	1:26:22	282	2:03:01	308	0:51:36	112	188		20-24男子	23
217	324	本間 靖隆	51	男	新潟県	2:54:38	0:33:42	243	1:25:33	269	1:59:15	267	0:55:23	166	189		50-54男子	38
218	152	小野 真平	33	男	新潟県	2:54:52	0:23:53	21	1:28:57	320	1:52:50	199	1:02:02	271	190		30-34男子	8
219	394	森谷 真一	55	男	神奈川県	2:55:02	0:34:02	253	1:19:00	185	1:53:02	201	1:02:00	270	191		55-59男子	23
220	511	岡田 浩寿	65	男	福島県	2:55:13	0:31:41	184	1:21:05	220	1:52:46	198	1:02:27	276	192		65-69男子	7
221	630	竹内 亜輝子	46	女	新潟県	2:55:15	0:24:24	23	1:29:07	323	1:53:31	204	1:01:44	264		29	45-49女子	6
222	218	岩井 大輔	43	男	愛知県	2:55:20	0:37:00	343	1:19:09	190	1:56:09	234	0:59:11	223	193		40-44男子	18
223	418	宗田 一雄	56	男	新潟県	2:55:38	0:33:39	240	1:25:38	274	1:59:17	268	0:56:21	185	194		55-59男子	24
224	638	打越 三紀恵	48	女	東京都	2:55:44	0:33:39	241	1:26:29	285	2:00:08	274	0:55:36	169		30	45-49女子	7
225	341	工藤 直光	52	男	秋田県	2:55:45	0:36:14	325	1:23:07	240	1:59:21	269	0:56:24	187	195		50-54男子	39
226	382	安井 章	54	男	神奈川県	2:55:47	0:36:49	339	1:17:34	165	1:54:23	211	1:01:24	257	196		50-54男子	40
227	390	山本 顕	55	男	愛知県	2:55:53	0:33:39	239	1:28:31	315	2:02:10	299	0:53:43	139	197		55-59男子	25
228	298	Reich  Thomas	49	男	東京都	2:55:55	0:25:41	45	1:28:59	321	1:54:40	218	1:01:15	254	198		45-49男子	32
229	327	鴨下  和彦	51	男	新潟県	2:55:55	0:36:06	320	1:20:35	211	1:56:41	238	0:59:14	226	199		50-54男子	41
230	475	渕田 嘉彦	61	男	大阪府	2:55:59	0:34:23	265	1:24:09	255	1:58:32	264	0:57:27	203	200		60-64男子	13
231	117	内田 龍一	21	男	福島県	2:56:04	0:32:08	200	1:18:58	184	1:51:06	186	1:04:58	304	201		20-24男子	24
232	205	内山 崇	41	男	新潟県	2:56:15	0:33:19	229	1:23:13	242	1:56:32	236	0:59:43	234	202		40-44男子	19
233	366	原田 光	53	男	宮城県	2:56:21	0:33:29	233	1:22:24	229	1:55:53	229	1:00:28	238	203		50-54男子	42
234	268	伊藤 大輔	48	男	新潟県	2:56:31	0:28:35	87	1:26:42	288	1:55:17	224	1:01:14	253	204		45-49男子	33
235	243	河合 常明	46	男	新潟県	2:56:42	0:37:02	345	1:19:46	201	1:56:48	241	0:59:54	235	205		45-49男子	34
236	246	ＯＮＥＡＬ ＧＥＯＲＧＥ	46	男	新潟県	2:57:08	0:33:13	228	1:29:53	330	2:03:06	310	0:54:02	143	206		45-49男子	35
237	386	渡辺 浩史	55	男	東京都	2:57:30	0:35:22	297	1:25:01	265	2:00:23	278	0:57:07	196	207		55-59男子	26
238	255	木下 光三	47	男	長野県	2:57:30	0:37:33	362	1:24:24	258	2:01:57	296	0:55:33	168	208		45-49男子	36
239	362	近藤 敏	53	男	静岡県	2:57:42	0:35:25	300	1:18:16	177	1:53:41	206	1:04:01	292	209		50-54男子	43
240	487	武田 豊三	62	男	宮城県	2:57:43	0:37:05	346	1:24:58	264	2:02:03	297	0:55:40	170	210		60-64男子	14
241	162	渡邊  悠太	35	男	東京都	2:57:45	0:30:20	140	1:28:10	306	1:58:30	263	0:59:15	228	211		35-39男子	16
242	505	松浦 宏	65	男	東京都	2:58:22	0:34:27	269	1:25:47	277	2:00:14	275	0:58:08	212	212		65-69男子	8
243	419	山岸 正人	56	男	長野県	2:58:41	0:36:01	316	1:21:02	219	1:57:03	242	1:01:38	263	213		55-59男子	27
244	305	栗田  秀人	50	男	山形県	2:58:46	0:33:47	246	1:17:21	162	1:51:08	187	1:07:38	332	214		50-54男子	44
245	652	齋藤 純子	54	女	東京都	2:58:55	0:32:12	203	1:30:36	345	2:02:48	306	0:56:07	177		31	50-54女子	5
246	513	清水  武	65	男	長野県	2:59:03	0:34:59	287	1:23:20	246	1:58:19	260	1:00:44	244	215		65-69男子	9
247	424	忠 竜夫	57	男	石川県	2:59:11	0:32:54	221	1:19:38	197	1:52:32	196	1:06:39	324	216		55-59男子	28
248	244	関内 光市	46	男	福島県	2:59:28	0:35:10	292	1:18:24	179	1:53:34	205	1:05:54	318	217		45-49男子	37
249	322	田澤 俊哉	51	男	新潟県	2:59:37	0:36:06	321	1:21:41	225	1:57:47	253	1:01:50	267	218		50-54男子	45
250	644	林原  りか	50	女	富山県	3:00:34	0:34:00	252	1:27:08	293	2:01:08	286	0:59:26	230		32	50-54女子	6
251	637	瀬戸 礼子	48	女	宮城県	3:00:36	0:38:31	373	1:23:50	250	2:02:21	300	0:58:15	214		33	45-49女子	8
252	503	鈴木  忠	64	男	秋田県	3:00:49	0:36:36	334	1:23:44	248	2:00:20	277	1:00:29	239	219		60-64男子	15
253	514	佐藤 徹	66	男	山形県	3:01:06	0:34:05	256	1:26:31	286	2:00:36	282	1:00:30	240	220		65-69男子	10
254	631	加藤 優美子	46	女	新潟県	3:01:18	0:34:04	254	1:29:01	322	2:03:05	309	0:58:13	213		34	45-49女子	9
255	674	平澤 孝子	65	女	神奈川県	3:01:32	0:32:08	202	1:26:18	280	1:58:26	262	1:03:06	282		35	65-69女子	1
256	353	中里  邦彦	53	男	東京都	3:01:45	0:31:49	185	1:25:15	267	1:57:04	243	1:04:41	298	221		50-54男子	46
257	253	日下 陽平	47	男	宮城県	3:01:56	0:35:19	296	1:18:07	174	1:53:26	203	1:08:30	339	222		45-49男子	38
258	673	片田  知子	64	女	神奈川県	3:02:00	0:33:59	251	1:25:37	272	1:59:36	271	1:02:24	274		36	60-64女子	2
259	612	西田 智美	30	女	兵庫県	3:02:14	0:25:36	43	1:31:44	355	1:57:20	245	1:04:54	302		37	30-34女子	4
260	1001	筑比地 修	54	男	青森県	3:02:14	0:46:13	435	1:19:47	203	2:06:00	338	0:56:14	180	223		50-54男子	47
261	432	佐藤  圭	57	男	群馬県	3:02:20	0:36:52	340	1:28:32	316	2:05:24	333	0:56:56	193	224		55-59男子	29
262	308	小野 佳之	50	男	福島県	3:02:23	0:28:35	88	1:25:37	273	1:54:12	210	1:08:11	338	225		50-54男子	48
263	416	岩澤  勝	56	男	新潟県	3:02:27	0:35:14	294	1:26:32	287	2:01:46	294	1:00:41	241	226		55-59男子	30
264	444	佐藤 和幸	58	男	新潟県	3:02:46	0:36:57	342	1:22:17	228	1:59:14	266	1:03:32	286	227		55-59男子	31
265	320	毛利 有孝	51	男	愛知県	3:02:55	0:35:44	311	1:27:03	292	2:02:47	305	1:00:08	237	228		50-54男子	49
266	377	米澤 博文	54	男	福岡県	3:03:05	0:32:23	209	1:30:00	331	2:02:23	301	1:00:42	242	229		50-54男子	50
267	288	金谷 史夫	49	男	新潟県	3:03:16	0:34:18	261	1:16:44	154	1:51:02	185	1:12:14	372	230		45-49男子	39
268	624	奥村 暢子	41	女	東京都	3:03:21	0:38:50	376	1:27:15	294	2:06:05	341	0:57:16	199		38	40-44女子	1
269	521	齋藤 徹	67	男	東京都	3:03:21	0:34:29	270	1:29:18	324	2:03:47	314	0:59:34	233	231		65-69男子	11
270	488	謝 孝浩	62	男	東京都	3:03:45	0:34:04	255	1:22:42	233	1:56:46	240	1:06:59	326	232		60-64男子	16
271	379	小泉 勝	54	男	神奈川県	3:03:47	0:32:59	223	1:28:12	307	2:01:11	287	1:02:36	277	233		50-54男子	51
272	204	厚見 行正	41	男	石川県	3:03:55	0:32:02	196	1:29:50	329	2:01:52	295	1:02:03	272	234		40-44男子	20
273	629	番場 真寿美	46	女	新潟県	3:03:55	0:24:45	27	1:30:21	341	1:55:06	221	1:08:49	341		39	45-49女子	10
274	467	中山 晃嘉	61	男	東京都	3:03:56	0:34:35	273	1:30:08	336	2:04:43	324	0:59:13	224	235		60-64男子	17
275	311	山岡 宗一郎	50	男	東京都	3:03:57	0:33:58	250	1:30:51	350	2:04:49	325	0:59:08	222	236		50-54男子	52
276	425	松澤  秀明	57	男	新潟県	3:03:57	0:32:22	208	1:23:40	247	1:56:02	233	1:07:55	336	237		55-59男子	32
277	354	五十嵐 和彦	53	男	新潟県	3:04:04	0:39:18	383	1:24:03	252	2:03:21	313	1:00:43	243	238		50-54男子	53
278	677	佐々木 幸子	68	女	群馬県	3:04:08	0:30:47	155	1:19:15	192	1:50:02	172	1:14:06	385		40	65-69女子	2
279	376	山本  喜昭	54	男	東京都	3:04:14	0:36:34	332	1:31:36	353	2:08:10	357	0:56:04	176	239		50-54男子	54
280	437	小林 豊	58	男	千葉県	3:04:16	0:35:42	310	1:24:21	256	2:00:03	273	1:04:13	295	240		55-59男子	33
281	678	高橋 あき子	70	女	神奈川県	3:04:21	0:32:46	218	1:30:04	333	2:02:50	307	1:01:31	259		41	70以上女子	1
282	545	鬼塚 三男	75	男	東京都	3:04:21	0:35:31	306	1:25:09	266	2:00:40	283	1:03:41	288	241		75-79男子	1
283	328	内田 博文	51	男	栃木県	3:04:25	0:34:57	286	1:30:02	332	2:04:59	327	0:59:26	229	242		50-54男子	55
284	261	田岡 聖司	47	男	兵庫県	3:04:37	0:41:52	409	1:16:07	147	1:57:59	255	1:06:38	323	243		45-49男子	40
285	537	佐藤 均	70	男	山形県	3:04:38	0:31:25	170	1:34:14	382	2:05:39	336	0:58:59	219	244		70-74男子	2
286	206	星 晃平	41	男	新潟県	3:04:40	0:32:51	220	1:32:41	366	2:05:32	334	0:59:08	221	245		40-44男子	21
287	543	佐藤 賢二	74	男	新潟県	3:04:45	0:27:40	75	1:27:41	298	1:55:21	225	1:09:24	346	246		70-74男子	3
288	429	坂口  幸治	57	男	長野県	3:04:50	0:29:46	125	1:15:44	138	1:45:30	121	1:19:20	418	247		55-59男子	34
289	446	加藤 裕二	58	男	埼玉県	3:05:01	0:37:00	344	1:20:36	212	1:57:36	249	1:07:25	329	248		55-59男子	35
290	671	藤井 眞由美	64	女	愛知県	3:05:06	0:30:28	144	1:32:02	360	2:02:30	304	1:02:36	278		42	60-64女子	3
291	436	吉田 敦	58	男	新潟県	3:05:10	0:35:29	304	1:19:45	200	1:55:14	223	1:09:56	353	249		55-59男子	36
292	621	澤田 美穂	37	女	埼玉県	3:05:13	0:33:40	242	1:30:34	344	2:04:14	320	1:00:59	249		43	35-39女子	1
293	395	高橋 忠温	55	男	山形県	3:05:15	0:33:24	232	1:24:08	254	1:57:32	247	1:07:43	333	250		55-59男子	37
294	625	藤井 かおる	42	女	新潟県	3:05:16	0:35:30	305	1:28:25	312	2:03:55	315	1:01:21	256		44	40-44女子	2
295	642	横山 奈央子	50	女	宮城県	3:05:20	0:40:03	395	1:30:44	346	2:10:47	367	0:54:33	152		45	50-54女子	7
296	656	金子  玲子	55	女	神奈川県	3:05:27	0:29:54	130	1:37:17	413	2:07:11	351	0:58:16	215		46	55-59女子	5
297	486	本田  清和	62	男	新潟県	3:05:32	0:34:56	285	1:26:49	290	2:01:45	292	1:03:47	289	251		60-64男子	18
298	413	加藤 正樹	56	男	新潟県	3:05:55	0:35:23	299	1:26:23	283	2:01:46	293	1:04:09	294	252		55-59男子	38
299	502	村上 正則	64	男	愛知県	3:06:02	0:33:35	236	1:19:08	189	1:52:43	197	1:13:19	382	253		60-64男子	19
300	225	村地 達雄	44	男	東京都	3:06:16	0:34:05	258	1:30:17	339	2:04:22	321	1:01:54	268	254		40-44男子	22
301	632	今野 恭子	46	女	宮城県	3:06:37	0:32:12	204	1:29:29	327	2:01:41	291	1:04:56	303		47	45-49女子	11
302	449	高橋  正治	59	男	岩手県	3:06:48	0:32:35	214	1:24:34	260	1:57:09	244	1:09:39	349	255		55-59男子	39
303	229	奈良 裕一	45	男	青森県	3:06:54	0:35:27	301	1:20:33	210	1:56:00	232	1:10:54	363	256		45-49男子	41
304	501	佐藤 和栄	64	男	新潟県	3:06:59	0:34:26	268	1:23:15	243	1:57:41	252	1:09:18	345	257		60-64男子	20
305	293	加藤 知愛	49	男	新潟県	3:07:38	0:31:04	164	1:26:28	284	1:57:32	246	1:10:06	354	258		45-49男子	42
306	399	浅野 宏	55	男	新潟県	3:07:44	0:32:44	217	1:29:25	326	2:02:09	298	1:05:35	313	259		55-59男子	40
307	442	佐藤 正明	58	男	新潟県	3:07:47	0:34:44	278	1:22:50	236	1:57:34	248	1:10:13	355	260		55-59男子	41
308	635	古谷 怜子	48	女	新潟県	3:07:50	0:35:18	295	1:30:46	349	2:06:04	339	1:01:46	265		48	45-49女子	12
309	392	高橋 健	55	男	新潟県	3:07:50	0:26:43	55	1:23:51	251	1:50:34	181	1:17:16	407	261		55-59男子	42
310	433	山本  亨	57	男	長野県	3:08:25	0:37:15	351	1:23:16	244	2:00:31	281	1:07:54	335	262		55-59男子	43
311	664	新田 泰子	59	女	宮城県	3:08:32	0:34:29	271	1:30:46	348	2:05:15	330	1:03:17	284		49	55-59女子	6
312	626	白川 もえぎ	45	女	東京都	3:08:57	0:35:57	315	1:28:07	304	2:04:04	318	1:04:53	301		50	45-49女子	13
313	247	登内 広樹	47	男	長野県	3:09:02	0:39:42	386	1:27:21	296	2:07:03	347	1:01:59	269	263		45-49男子	43
314	251	吉田  茂明	47	男	新潟県	3:09:05	0:43:53	422	1:27:16	295	2:11:09	370	0:57:56	210	264		45-49男子	44
315	522	鈴木  裕育	67	男	新潟県	3:09:48	0:36:12	323	1:28:26	313	2:04:38	323	1:05:10	308	265		65-69男子	12
316	456	百瀬 太郎	59	男	東京都	3:09:57	0:32:00	194	1:35:09	391	2:07:09	350	1:02:48	280	266		55-59男子	44
317	276	田村  和也	48	男	神奈川県	3:09:59	0:30:45	154	1:36:23	406	2:07:08	349	1:02:51	281	267		45-49男子	45
318	658	山崎 聡美	56	女	宮城県	3:10:21	0:30:09	132	1:28:06	302	1:58:15	259	1:12:06	371		51	55-59女子	7
319	309	北尾 龍典	50	男	大阪府	3:10:34	0:37:11	349	1:28:10	305	2:05:21	331	1:05:13	310	268		50-54男子	56
320	478	Schulz  Martin	62	男	東京都	3:10:34	0:39:44	387	1:26:45	289	2:06:29	343	1:04:05	293	269		60-64男子	21
321	172	川村 巧磨	36	男	新潟県	3:10:50	0:36:36	333	1:35:16	395	2:11:52	376	0:58:58	218	270		35-39男子	17
322	313	阿川 哲也	51	男	新潟県	3:11:00	0:35:37	308	1:24:39	262	2:00:16	276	1:10:44	361	271		50-54男子	57
323	458	田村 和夫	60	男	新潟県	3:11:10	0:33:46	245	1:20:05	205	1:53:51	207	1:17:19	408	272		60-64男子	22
324	653	布施 美香	54	女	新潟県	3:11:27	0:45:38	431	1:31:53	357	2:17:31	406	0:53:56	141		52	50-54女子	8
325	198	川口  雄大	40	男	京都府	3:11:33	0:39:26	384	1:24:38	261	2:04:04	317	1:07:29	331	273		40-44男子	23
326	174	大倉 晃	36	男	新潟県	3:12:01	0:40:40	400	1:27:25	297	2:08:05	356	1:03:56	291	274		35-39男子	18
327	167	田中  直樹	35	男	東京都	3:12:20	0:37:36	364	1:37:14	412	2:14:50	392	0:57:30	205	275		35-39男子	19
328	272	井上 真	48	男	大阪府	3:12:30	0:41:12	405	1:25:43	276	2:06:55	346	1:05:35	314	276		45-49男子	46
329	289	矢島 聡	49	男	新潟県	3:12:37	0:39:06	380	1:24:05	253	2:03:11	312	1:09:26	347	277		45-49男子	47
330	372	押山 貴光	54	男	新潟県	3:12:38	0:34:40	276	1:30:44	347	2:05:24	332	1:07:14	328	278		50-54男子	58
331	507	川口  毅	65	男	東京都	3:12:48	0:37:16	352	1:31:38	354	2:08:54	361	1:03:54	290	279		65-69男子	13
332	384	奥谷 幸司	54	男	奈良県	3:12:52	0:43:08	417	1:24:32	259	2:07:40	353	1:05:12	309	280		50-54男子	59
333	317	鈴木 謙輔	51	男	新潟県	3:12:54	0:33:45	244	1:28:41	318	2:02:26	302	1:10:28	358	281		50-54男子	60
334	552	野田 朋芳	77	男	東京都	3:13:44	0:35:08	291	1:25:34	271	2:00:42	284	1:13:02	379	282		75-79男子	2
335	469	長岡 正明	61	男	埼玉県	3:13:48	0:29:19	110	1:33:08	372	2:02:27	303	1:11:21	367	283		60-64男子	23
336	654	高田  友美	54	女	栃木県	3:13:52	0:34:10	260	1:34:39	389	2:08:49	360	1:05:03	305		53	50-54女子	9
337	665	櫻井 順子	60	女	東京都	3:14:06	0:40:01	394	1:33:12	373	2:13:13	383	1:00:53	248		54	60-64女子	4
338	176	三松 豊	37	男	東京都	3:14:15	0:36:02	317	1:32:55	369	2:08:57	362	1:05:18	312	284		35-39男子	20
339	455	堀米  英徳	59	男	長野県	3:14:24	0:29:36	119	1:29:33	328	1:59:09	265	1:15:15	394	285		55-59男子	45
340	527	林 秀昭	68	男	長野県	3:14:25	0:36:21	328	1:31:32	352	2:07:53	354	1:06:32	322	286		65-69男子	14
341	396	岡本  伸久	55	男	東京都	3:14:35	0:32:24	210	1:25:56	278	1:58:20	261	1:16:15	403	287		55-59男子	46
342	492	藤本 宏貴	63	男	東京都	3:14:36	0:37:28	361	1:19:13	191	1:56:41	239	1:17:55	411	288		60-64男子	24
343	234	小式澤 友也	45	男	新潟県	3:14:43	0:40:10	396	1:17:29	164	1:57:39	250	1:17:04	406	289		45-49男子	48
344	388	中村  茂	55	男	新潟県	3:15:00	0:37:34	363	1:36:12	403	2:13:46	386	1:01:14	252	290		55-59男子	47
345	331	酒井 敏光	51	男	新潟県	3:15:02	0:42:29	412	1:22:44	234	2:05:13	329	1:09:49	351	291		50-54男子	61
346	281	諏佐  政人	49	男	新潟県	3:15:03	0:44:37	424	1:22:59	237	2:07:36	352	1:07:27	330	292		45-49男子	49
347	334	珠坪  雅雄	52	男	新潟県	3:15:06	0:43:48	421	1:30:33	343	2:14:21	390	1:00:45	245	293		50-54男子	62
348	315	天井 秀昭	51	男	新潟県	3:15:15	0:38:02	369	1:34:06	380	2:12:08	378	1:03:07	283	294		50-54男子	63
349	538	東海林 敏昭	71	男	神奈川県	3:15:25	0:36:16	326	1:33:56	377	2:10:12	366	1:05:13	311	295		70-74男子	4
350	680	白石 えり子	74	女	新潟県	3:15:28	0:30:32	148	1:36:02	401	2:06:34	344	1:08:54	342		55	70以上女子	2
351	285	金長  則之	49	男	東京都	3:15:55	0:30:59	159	1:30:07	335	2:01:06	285	1:14:49	392	296		45-49男子	50
352	473	川口 博貴	61	男	千葉県	3:16:00	0:39:44	388	1:31:09	351	2:10:53	369	1:05:07	306	297		60-64男子	25
353	525	岡部  一郎	68	男	新潟県	3:16:08	0:34:54	284	1:30:06	334	2:05:00	328	1:11:08	365	298		65-69男子	15
354	518	高野  政俊	66	男	宮城県	3:16:16	0:36:27	329	1:27:58	300	2:04:25	322	1:11:51	370	299		65-69男子	16
355	524	吉村 元明	67	男	兵庫県	3:16:52	0:30:16	136	1:25:39	275	1:55:55	230	1:20:57	425	300		65-69男子	17
356	547	石川 雄蔵	75	男	愛知県	3:17:18	0:39:45	389	1:28:15	309	2:08:00	355	1:09:18	344	301		75-79男子	3
357	497	平野  博文	63	男	東京都	3:17:19	0:35:39	309	1:26:02	279	2:01:41	290	1:15:38	397	302		60-64男子	26
358	506	湯浅 和己	65	男	東京都	3:17:30	0:42:59	415	1:28:38	317	2:11:37	373	1:05:53	317	303		65-69男子	18
359	412	平田  康隆	56	男	大阪府	3:17:33	0:38:21	370	1:33:20	376	2:11:41	374	1:05:52	316	304		55-59男子	48
360	350	村本 全平	53	男	大阪府	3:17:40	0:38:31	372	1:34:25	386	2:12:56	381	1:04:44	300	305		50-54男子	64
361	476	小田島 誠	61	男	新潟県	3:18:55	0:32:00	195	1:37:00	410	2:09:00	363	1:09:55	352	306		60-64男子	27
362	330	Lai  LengFong	51	男	東京都	3:18:58	0:35:33	307	1:41:38	435	2:17:11	404	1:01:47	266	307		50-54男子	65
363	498	佐藤 正人	63	男	新潟県	3:19:25	0:38:27	371	1:23:12	241	2:01:39	288	1:17:46	409	308		60-64男子	28
364	254	大澤 寛明	47	男	東京都	3:19:36	0:36:28	330	1:32:06	362	2:08:34	359	1:11:02	364	309		45-49男子	51
365	676	浅香 則子	65	女	東京都	3:19:36	0:35:52	314	1:32:24	363	2:08:16	358	1:11:20	366		56	65-69女子	3
366	137	大塚 竜生	26	男	東京都	3:19:37	0:51:26	453	1:28:57	319	2:20:23	417	0:59:14	227	310		25-29男子	9
367	359	向所 和也	53	男	長野県	3:19:45	0:31:59	192	1:34:28	387	2:06:27	342	1:13:18	381	311		50-54男子	66
368	134	木村 翔真	24	男	京都府	3:19:50	0:42:38	413	1:34:24	385	2:17:02	402	1:02:48	279	312		20-24男子	25
369	452	李 康行	59	男	東京都	3:19:50	0:39:07	381	1:37:12	411	2:16:19	401	1:03:31	285	313		55-59男子	49
370	200	細田 大造	40	男	秋田県	3:20:14	0:41:07	404	1:17:07	159	1:58:14	258	1:22:00	431	314		40-44男子	24
371	391	高橋  康	55	男	新潟県	3:20:35	0:37:10	348	1:34:41	390	2:11:51	375	1:08:44	340	315		55-59男子	50
372	650	新倉 寛子	53	女	神奈川県	3:20:45	0:37:27	360	1:38:10	420	2:15:37	395	1:05:08	307		57	50-54女子	10
373	553	山川 清一	77	男	宮城県	3:21:46	0:39:52	392	1:32:25	364	2:12:17	379	1:09:29	348	316		75-79男子	4
374	211	吉川 和博	42	男	富山県	3:21:53	0:31:26	173	1:35:11	392	2:06:37	345	1:15:16	395	317		40-44男子	25
375	464	貝塚 敦	60	男	新潟県	3:22:01	0:45:50	432	1:31:46	356	2:17:36	407	1:04:25	297	318		60-64男子	29
376	490	比留間  進	62	男	東京都	3:22:10	0:37:52	367	1:36:30	408	2:14:22	391	1:07:48	334	319		60-64男子	30
377	284	尾関 雅司	49	男	神奈川県	3:22:44	0:35:45	312	1:36:20	404	2:12:05	377	1:10:39	359	320		45-49男子	52
378	483	椋木  アレン	62	男	東京都	3:23:53	0:38:43	375	1:28:22	311	2:07:05	348	1:16:48	405	321		60-64男子	31
379	533	小川 紀敏	69	男	茨城県	3:24:23	0:36:42	338	1:33:00	370	2:09:42	365	1:14:41	391	322		65-69男子	19
380	280	溝内 達也	49	男	東京都	3:24:23	0:27:46	77	1:28:27	314	1:56:13	235	1:28:10	441	323		45-49男子	53
381	367	高橋 洋	53	男	新潟県	3:25:10	0:31:27	174	1:30:13	337	2:01:40	289	1:23:30	437	324		50-54男子	67
382	385	木村 憲司	55	男	愛知県	3:25:52	0:41:30	406	1:32:33	365	2:14:03	389	1:11:49	369	325		55-59男子	51
383	520	庄司 太志	66	男	山形県	3:25:55	0:37:25	358	1:35:57	399	2:13:22	384	1:12:33	373	326		65-69男子	20
384	431	今井 謙一郎	57	男	東京都	3:25:58	0:32:08	201	1:33:57	378	2:06:05	340	1:19:53	420	327		55-59男子	52
385	551	澤浦 満雄	75	男	埼玉県	3:26:04	0:35:27	302	1:37:41	415	2:13:08	382	1:12:56	377	328		75-79男子	5
386	321	古川 敦	51	男	新潟県	3:26:05	0:37:26	359	1:28:20	310	2:05:46	337	1:20:19	421	329		50-54男子	68
387	383	澤田 正宏	54	男	東京都	3:26:16	0:41:42	408	1:35:21	396	2:17:03	403	1:09:13	343	330		50-54男子	69
388	477	糠塚 雅樹	62	男	神奈川県	3:26:25	0:33:34	235	1:32:01	359	2:05:35	335	1:20:50	424	331		60-64男子	32
389	373	山本 道伸	54	男	愛知県	3:26:29	0:45:31	430	1:30:16	338	2:15:47	397	1:10:42	360	332		50-54男子	70
390	422	内藤 洋志	56	男	新潟県	3:26:34	0:35:02	288	1:28:06	303	2:03:08	311	1:23:26	436	333		55-59男子	53
391	504	佐藤 昭仁	65	男	新潟県	3:26:36	0:38:01	368	1:32:48	367	2:10:49	368	1:15:47	399	334		65-69男子	21
392	404	田中 和則	55	男	岩手県	3:27:30	0:48:02	447	1:26:52	291	2:14:54	393	1:12:36	374	335		55-59男子	54
393	370	行場 裕樹	54	男	宮城県	3:27:36	0:37:17	353	1:34:10	381	2:11:27	372	1:16:09	402	336		50-54男子	71
394	319	皆川 裕	51	男	新潟県	3:27:57	0:48:44	450	1:38:21	422	2:27:05	438	1:00:52	247	337		50-54男子	72
395	669	梅津 絵美	63	女	東京都	3:28:38	0:37:45	366	1:37:58	417	2:15:43	396	1:12:55	376		58	60-64女子	5
396	168	則俊 直哉	36	男	東京都	3:29:22	0:36:54	341	1:28:03	301	2:04:57	326	1:24:25	439	338		35-39男子	21
397	443	渡辺 努	58	男	愛知県	3:29:54	0:42:11	410	1:36:03	402	2:18:14	410	1:11:40	368	339		55-59男子	55
398	657	渡辺 華史	56	女	東京都	3:30:30	0:38:32	374	1:41:04	430	2:19:36	413	1:10:54	362		59	55-59女子	8
399	326	瀬戸 克彦	51	男	東京都	3:30:46	0:37:10	347	1:32:02	361	2:09:12	364	1:21:34	429	340		50-54男子	73
400	531	福武 朗	69	男	東京都	3:31:15	0:40:25	397	1:35:36	397	2:16:01	399	1:15:14	393	341		65-69男子	22
401	130	田中 嶺吾	24	男	東京都	3:31:48	0:52:49	454	1:34:15	383	2:27:04	437	1:04:44	299	342		20-24男子	26
402	453	鈴木 敏明	59	男	新潟県	3:32:26	0:39:50	391	1:33:59	379	2:13:49	387	1:18:37	413	343		55-59男子	56
403	610	長田 華凜	27	女	神奈川県	3:32:38	0:44:59	426	1:37:22	414	2:22:21	422	1:10:17	356		60	25-29女子	4
404	277	佐藤 親一	48	男	新潟県	3:32:39	0:31:14	166	1:32:53	368	2:04:07	319	1:28:32	443	344		45-49男子	54
