総合 順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子 順位	女子 順位	年齢区分	年齡 別順
194	52	渡辺 修	32	男	豊田市	4:41:45	0:45:18	301	1:58:19	192	2:43:37	216	1:58:08	180		184		30～39歳男子	61
195	83	和多田 佑介	34	男	神奈川県	4:41:51	0:52:17	410	1:51:55	107	2:44:12	225	1:57:39	175		185		30～39歳男子	62
196	219	白木 浩二	43	男	田原市	4:41:57	0:44:21	271	1:56:53	169	2:41:14	195	2:00:43	206		186		40～49歳男子	83
197	20	秋元 翼	25	男	東郷町	4:42:05	0:39:55	123	1:45:39	38	2:25:34	50	2:16:31	316		187		18～29歳男子	11
198	255	田部井 聡	30	男	岐阜県	4:42:05	0:43:01	235	1:56:54	170	2:39:55	186	2:02:10	222		188		30～39歳男子	63
199	358	神野 恭寿	50	男	名古屋市	4:42:15	0:45:33	311	1:59:05	205	2:44:38	230	1:57:37	174		189		50～59歳男子	27
200	49	渋谷 朋洋	31	男	三重県	4:42:17	0:39:59	127	1:52:25	112	2:32:24	111	2:09:53	279		190		30～39歳男子	64
201	133	安井 聖二	39	男	名古屋市	4:42:31	0:46:35	335	1:57:50	181	2:44:25	227	1:58:06	177		191		30～39歳男子	65
202	45	両角 秀勝	31	男	岩倉市	4:43:07	0:45:04	294	1:48:34	62	2:33:38	119	2:09:29	275		192		30～39歳男子	66
203	480	三浦 礼子	40	女	東京都	4:43:10	0:46:07	326	2:17:34	398	3:03:41	376	1:39:29	55			11	40～49歳女子	5
204	347	紺野 克洋	49	男	神奈川県	4:43:28	0:44:50	288	2:00:07	221	2:44:57	238	1:58:31	183		193		40～49歳男子	84
205	455	岡田 幸夫	63	男	一宮市	4:43:38	0:44:33	282	2:00:44	230	2:45:17	241	1:58:21	181		194		60歳以上男子	3
206	181	安藤 知之	41	男	豊橋市	4:43:52	0:41:33	180	2:03:22	261	2:44:55	236	1:58:57	188		195		40～49歳男子	85
207	461	石橋 憲治	67	男	兵庫県	4:44:02	0:40:39	147	2:02:16	245	2:42:55	208	2:01:07	211		196		60歳以上男子	4
208	256	松田 純一	30	男	刈谷市	4:44:52	0:57:36	437	1:59:19	209	2:56:55	340	1:47:57	113		197		30～39歳男子	67
209	27	青柳 貴史	28	男	田原市	4:44:55	0:38:30	96	2:03:38	265	2:42:08	202	2:02:47	227		198		18～29歳男子	12
210	363	鈴木 規之	50	男	小牧市	4:44:57	0:43:23	243	2:02:36	249	2:45:59	253	1:58:58	189		199		50～59歳男子	28
211	197	吉田 辰也	42	男	豊田市	4:44:58	0:43:14	239	2:06:28	306	2:49:42	282	1:55:16	159		200		40～49歳男子	86
212	482	松田 珠弥	41	女	一宮市	4:45:04	0:43:36	251	1:54:13	132	2:37:49	164	2:07:15	259			12	40～49歳女子	6
213	171	渡辺 和知	41	男	田原市	4:45:30	0:38:56	107	2:03:05	257	2:42:01	201	2:03:29	232		201		40～49歳男子	87
214	230	村本 明生	44	男	名古屋市	4:45:54	0:41:07	165	2:01:58	241	2:43:05	209	2:02:49	228		202		40～49歳男子	88
215	93	田上 純也	35	男	みよし市	4:46:11	0:42:46	224	1:52:52	120	2:35:38	138	2:10:33	281		203		30～39歳男子	68
216	427	佐々木 恵一	55	男	静岡県	4:46:22	0:43:28	245	2:02:45	253	2:46:13	257	2:00:09	204		204		50～59歳男子	29
217	162	長瀬 裕三	40	男	神奈川県	4:46:35	0:41:35	183	1:54:39	141	2:36:14	144	2:10:21	280		205		40～49歳男子	89
218	164	内藤 昭裕	41	男	名古屋市	4:46:37	0:40:35	143	2:01:02	234	2:41:37	199	2:05:00	245		206		40～49歳男子	90
219	201	蓑島 貴則	42	男	一宮市	4:46:41	0:47:04	344	2:06:11	301	2:53:15	312	1:53:26	150		207		40～49歳男子	91
220	165	白井 隆一	41	男	名古屋市	4:46:56	0:30:22	7	1:46:16	43	2:16:38	19	2:30:18	380		208		40～49歳男子	92
221	132	藤原 一騎	39	男	静岡県	4:46:58	0:34:23	33	1:50:22	83	2:24:45	46	2:22:13	344		209		30～39歳男子	69
222	127	ザンルンゴ フランチェスコ	38	男	京都府	4:47:30	0:39:13	112	2:11:31	353	2:50:44	291	1:56:46	167		210		30～39歳男子	70
223	38	泉川 勇樹	30	男	豊田市	4:48:09	0:43:58	260	2:16:00	389	2:59:58	361	1:48:11	115		211		30～39歳男子	71
224	403	松宮 五治	53	男	滋賀県	4:48:34	0:44:06	264	2:06:22	303	2:50:28	287	1:58:06	178		212		50～59歳男子	30
225	460	二村 秀三	66	男	名古屋市	4:48:37	0:51:42	399	1:59:51	218	2:51:33	298	1:57:04	171		213		60歳以上男子	5
226	419	森 哲	54	男	茨城県	4:48:39	0:41:32	179	2:02:30	248	2:44:02	222	2:04:37	242		214		50～59歳男子	31
227	288	山本 邦夫	45	男	春日井市	4:48:58	0:44:14	269	1:59:40	215	2:43:54	219	2:05:04	247		215		40～49歳男子	93
228	328	佐藤 純	48	男	神奈川県	4:50:13	0:44:29	278	1:58:25	196	2:42:54	207	2:07:19	260		216		40～49歳男子	94
229	169	臼井 良充	41	男	名古屋市	4:50:15	0:42:54	227	2:02:24	246	2:45:18	242	2:04:57	244		217		40～49歳男子	95
230	349	中澤 幸久	49	男	名古屋市	4:50:34	0:36:37	64	2:13:03	364	2:49:40	281	2:00:54	208		218		40～49歳男子	96
231	195	山中 貴	42	男	豊橋市	4:50:45	0:39:29	114	2:03:48	268	2:43:17	212	2:07:28	263		219		40～49歳男子	97
232	488	吉良 裕代	45	女	三重県	4:51:00	0:45:23	304	2:03:41	266	2:49:04	276	2:01:56	218			13	40～49歳女子	7
233	400	松田 秀則	53	男	稲沢市	4:51:36	0:41:29	176	2:08:25	322	2:49:54	284	2:01:42	214		220		50～59歳男子	32
234	158	Harrison Forest	40	男	豊川市	4:51:51	0:42:45	222	2:07:04	311	2:49:49	283	2:02:02	220		221		40～49歳男子	98
235	298	尾崎 雅浩	46	男	岡崎市	4:51:54	0:43:54	258	1:54:52	143	2:38:46	175	2:13:08	298		222		40～49歳男子	99
236	112	粕谷 康太郎	37	男	岐阜県	4:52:00	0:38:53	106	1:52:26	114	2:31:19	101	2:20:41	334		223		30～39歳男子	72
237	46	鈴木 祥生	31	男	名古屋市	4:52:11	0:41:26	174	1:59:26	212	2:40:52	194	2:11:19	286		224		30～39歳男子	73
238	303	伊神 隆	46	男	江南市	4:52:21	0:42:06	201	2:05:27	287	2:47:33	264	2:04:48	243		225		40～49歳男子	100
239	250	竹澤 夏樹	27	男	岡崎市	4:52:22	0:40:28	140	2:04:56	281	2:45:24	245	2:06:58	255		226		18～29歳男子	13
240	472	孝井 久美	31	女	名古屋市	4:52:29	0:41:09	167	2:04:47	280	2:45:56	252	2:06:33	254			14	30～39歳女子	3
241	238	菅原 隆	44	男	碧南市	4:52:30	0:44:44	286	2:03:58	271	2:48:42	271	2:03:48	236		227		40～49歳男子	101
242	163	歳内 文太	41	男	兵庫県	4:52:39	0:38:21	94	2:06:27	305	2:44:48	235	2:07:51	266		228		40～49歳男子	102
243	229	内田 忠夫	44	男	三重県	4:52:56	0:46:30	333	2:03:57	270	2:50:27	286	2:02:29	223		229		40～49歳男子	103
244	428	西 修二	55	男	和歌山県	4:53:01	0:42:11	203	2:13:15	366	2:55:26	330	1:57:35	173		230		50～59歳男子	33
245	144	村田 巨樹	40	男	滋賀県	4:53:03	0:40:56	156	1:59:52	220	2:40:48	192	2:12:15	294		231		40～49歳男子	104
246	247	二俣 素広	45	男	名古屋市	4:53:24	0:34:08	31	2:04:57	282	2:39:05	178	2:14:19	306		232		40～49歳男子	105
247	337	長谷川 浩一	48	男	京都府	4:53:43	0:45:23	303	2:05:31	290	2:50:54	293	2:02:49	229		233		40～49歳男子	106
248	410	大沢 亨	54	男	あま市	4:53:55	0:42:01	196	2:09:56	335	2:51:57	300	2:01:58	219		234		50～59歳男子	34
249	56	渥美 和弥	32	男	埼玉県	4:54:02	0:49:57	390	1:58:54	202	2:48:51	273	2:05:11	248		235		30～39歳男子	74
250	40	江藤 龍弥	30	男	豊田市	4:54:03	0:51:14	396	2:01:49	240	2:53:03	307	2:01:00	209		236		30～39歳男子	75
251	294	リース ゴードン	46	男	三重県	4:54:13	0:44:08	265	2:05:04	284	2:49:12	277	2:05:01	246		237		40～49歳男子	107
252	157	稲葉 善則	40	男	一宮市	4:54:24	0:55:43	432	2:00:42	228	2:56:25	336	1:57:59	176		238		40～49歳男子	108
253	383	飯塚 友朗	51	男	豊田市	4:54:30	0:42:55	228	2:02:27	247	2:45:22	244	2:09:08	274		239		50～59歳男子	35
254	41	上野 修平	30	男	豊川市	4:55:04	0:40:58	159	1:54:10	129	2:35:08	132	2:19:56	330		240		30～39歳男子	76
255	120	鎌仲 賢次	38	男	三重県	4:55:09	0:37:53	78	1:50:26	86	2:28:19	73	2:26:50	363		241		30～39歳男子	77
256	355	西野 勝彦	50	男	大阪府	4:55:17	0:39:53	120	1:56:35	167	2:36:28	150	2:18:49	328		242		50～59歳男子	36
257	114	井上 孝之	37	男	常滑市	4:55:21	0:51:48	402	1:56:05	160	2:47:53	266	2:07:28	262		243		30～39歳男子	78
258	411	山名 將和	54	男	和歌山県	4:55:26	0:37:04	70	1:59:40	216	2:36:44	154	2:18:42	326		244		50～59歳男子	37
259	361	花井 達夫	50	男	豊川市	4:55:30	0:43:16	240	2:04:42	278	2:47:58	267	2:07:32	264		245		50～59歳男子	38
260	285	鈴木 政成	45	男	長野県	4:55:32	0:45:48	317	1:54:21	135	2:40:09	187	2:15:23	311		246		40～49歳男子	109
261	452	植濃 幸秀	63	男	日進市	4:55:37	0:37:45	76	2:12:30	360	2:50:15	285	2:05:22	249		247		60歳以上男子	6
262	286	亀井 誠二	45	男	日進市	4:55:47	0:41:58	194	2:13:50	370	2:55:48	332	1:59:59	200		248		40～49歳男子	110
263	86	中山 幸久	34	男	名古屋市	4:55:47	0:38:59	111	2:04:32	276	2:43:31	214	2:12:16	295		249		30～39歳男子	79
264	153	新井 康祥	40	男	名古屋市	4:55:59	0:45:27	305	2:07:46	316	2:53:13	311	2:02:46	226		250		40～49歳男子	111
265	441	上水 満治	57	男	大阪府	4:56:06	0:42:03	200	2:04:58	283	2:47:01	258	2:09:05	273		251		50～59歳男子	39
266	184	上野 眞史	41	男	岡崎市	4:56:16	0:47:09	345	2:07:46	317	2:54:55	325	2:01:21	212		252		40～49歳男子	112
267	368	加藤 真吾	50	男	東京都	4:56:18	0:36:52	66	1:58:15	189	2:35:07	131	2:21:11	337		253		50～59歳男子	40
268	418	宮田 雅樹	54	男	大阪府	4:56:24	0:37:41	74	2:06:59	310	2:44:40	231	2:11:44	289		254		50～59歳男子	41
269	478	丸地 多恵	39	女	豊橋市	4:56:29	0:49:06	373	2:03:26	262	2:52:32	304	2:03:57	238			15	30～39歳女子	4
270	236	曽我 武司	44	男	東京都	4:56:35	0:44:10	267	2:05:10	285	2:49:20	278	2:07:15	257		255		40～49歳男子	113
271	498	佐藤 妙子	54	女	岡崎市	4:56:40	0:42:12	204	2:00:16	222	2:42:28	204	2:14:12	305			16	50～59歳女子	2
272	425	正田 幸敏	55	男	大阪府	4:56:43	0:42:56	229	2:10:21	342	2:53:17	313	2:03:26	231		256		50～59歳男子	42
273	357	高橋 廣志	50	男	東京都	4:56:45	0:37:42	75	2:02:03	244	2:39:45	183	2:17:00	318		257		50～59歳男子	43
274	156	仲野 孝明	40	男	東京都	4:56:46	0:42:28	213	2:06:57	309	2:49:25	280	2:07:21	261		258		40～49歳男子	114
275	415	中村 耕一	54	男	東京都	4:56:51	0:46:36	336	2:10:33	344	2:57:09	342	1:59:42	195		259		50～59歳男子	44
276	151	金 英浩	40	男	田原市	4:56:52	0:46:56	342	1:58:12	187	2:45:08	239	2:11:44	288		260		40～49歳男子	115
277	134	野嵜 康博	39	男	東京都	4:57:00	0:53:45	421	2:11:33	354	3:05:18	385	1:51:42	140		261		30～39歳男子	80
278	15	雪野 瞭治	22	男	豊橋市	4:57:08	0:45:53	318	2:02:36	250	2:48:29	270	2:08:39	270		262		18～29歳男子	14
279	271	宮北 泰浩	39	男	大阪府	4:57:41	0:44:09	266	2:02:58	256	2:47:07	259	2:10:34	282		263		30～39歳男子	81
280	73	山本 晃大	33	男	田原市	4:57:47	0:45:41	313	2:08:18	321	2:53:59	317	2:03:48	235		264		30～39歳男子	82
281	375	小山 光晴	51	男	豊橋市	4:58:05	0:45:45	315	2:12:19	359	2:58:04	349	2:00:01	201		265		50～59歳男子	45
282	168	作間 俊宏	41	男	豊川市	4:58:11	0:43:35	249	2:01:12	236	2:44:47	234	2:13:24	299		266		40～49歳男子	116
283	302	小島 真一	46	男	豊田市	4:58:51	0:48:19	360	2:06:36	308	2:54:55	326	2:03:56	237		267		40～49歳男子	117
284	413	仲野 三郎	54	男	滋賀県	4:59:34	0:43:11	238	2:07:20	313	2:50:31	288	2:09:03	272		268		50～59歳男子	46
285	119	阪下 研吾	37	男	大阪府	4:59:46	0:40:02	130	2:10:58	349	2:51:00	295	2:08:46	271		269		30～39歳男子	83
286	320	稲本 剛士	47	男	三重県	4:59:58	1:01:10	447	2:08:57	327	3:10:07	410	1:49:51	124		270		40～49歳男子	118
287	307	牧野 孝吉	46	男	豊川市	5:00:12	0:42:23	209	2:03:11	259	2:45:34	247	2:14:38	307		271		40～49歳男子	119
288	475	金山 幸枝	37	女	埼玉県	5:00:37	0:44:27	276	2:10:16	340	2:54:43	324	2:05:54	250			17	30～39歳女子	5
289	16	横川 直樹	22	男	大阪府	5:01:09	0:51:59	405	1:58:35	198	2:50:34	289	2:10:35	283		272		18～29歳男子	15
290	22	畠 昂平	27	男	田原市	5:02:00	0:42:44	220	2:04:32	277	2:47:16	261	2:14:44	308		273		18～29歳男子	16
291	334	高橋 正視	48	男	東京都	5:02:19	0:41:50	187	2:06:21	302	2:48:11	268	2:14:08	304		274		40～49歳男子	120
292	473	石村 理紗	36	女	名古屋市	5:02:27	0:39:23	113	2:21:18	419	3:00:41	362	2:01:46	215			18	30～39歳女子	6
293	389	渡邉 伸夫	52	男	豊橋市	5:03:23	0:47:25	348	2:06:25	304	2:53:50	316	2:09:33	277		275		50～59歳男子	47
294	174	川路 浩之	41	男	千葉県	5:04:00	0:48:19	359	2:00:32	225	2:48:51	274	2:15:09	310		276		40～49歳男子	121
295	106	中垣内 敦詞	36	男	春日井市	5:04:09	0:46:00	322	2:09:33	333	2:55:33	331	2:08:36	268		277		30～39歳男子	84
296	313	酒井 清次	47	男	豊川市	5:04:24	0:43:49	257	2:02:00	243	2:45:49	251	2:18:35	324		278		40～49歳男子	122
297	54	加藤 哲志	32	男	刈谷市	5:04:27	0:48:03	355	2:10:15	339	2:58:18	351	2:06:09	251		279		30～39歳男子	85
298	111	稲川 太	37	男	三重県	5:04:45	0:40:48	150	1:58:58	203	2:39:46	185	2:24:59	360		280		30～39歳男子	86
299	117	戸田 広明	37	男	静岡県	5:05:31	0:42:52	226	2:00:43	229	2:43:35	215	2:21:56	343		281		30～39歳男子	87
300	315	山本 幹登	47	男	稲沢市	5:05:50	0:46:02	323	2:10:17	341	2:56:19	335	2:09:31	276		282		40～49歳男子	123
301	19	森田 靖崇	24	男	名古屋市	5:05:52	0:48:03	356	1:49:17	68	2:37:20	161	2:28:32	370		283		18～29歳男子	17
302	232	青戸 知之	44	男	千葉県	5:05:59	0:49:44	387	2:19:44	411	3:09:28	407	1:56:31	163		284		40～49歳男子	124
303	414	伊藤 孝	54	男	三重県	5:06:07	0:52:03	406	2:11:20	351	3:03:23	373	2:02:44	225		285		50～59歳男子	48
304	67	前川 純一	33	男	三重県	5:06:33	0:41:12	168	1:55:56	155	2:37:08	158	2:29:25	376		286		30～39歳男子	88
305	329	浜口 清隆	48	男	大阪府	5:06:34	0:41:53	192	1:58:18	191	2:40:11	188	2:26:23	362		287		40～49歳男子	125
306	360	伊藤 豊	50	男	静岡県	5:06:46	0:44:39	284	2:05:57	297	2:50:36	290	2:16:10	314		288		50～59歳男子	49
307	85	四戸 亮太	34	男	常滑市	5:06:57	0:48:40	366	2:08:40	325	2:57:20	344	2:09:37	278		289		30～39歳男子	89
308	354	新井 英紀	49	男	豊田市	5:07:03	0:59:36	442	1:59:42	217	2:59:18	357	2:07:45	265		290		40～49歳男子	126
309	63	山内 武士	33	男	岐阜県	5:07:12	0:33:58	29	1:57:29	178	2:31:27	104	2:35:45	403		291		30～39歳男子	90
310	148	須藤 恭弘	40	男	東京都	5:07:15	0:49:41	384	1:57:38	179	2:47:19	262	2:19:56	331		292		40～49歳男子	127
311	100	櫻井 真吾	35	男	一宮市	5:07:39	0:45:11	298	2:00:34	226	2:45:45	249	2:21:54	342		293		30～39歳男子	91
312	90	本間 薫	35	男	尾張旭市	5:07:58	0:45:54	319	2:23:09	427	3:09:03	403	1:58:55	187		294		30～39歳男子	92
313	388	Wenzel Hans	52	男	田原市	5:08:06	0:53:34	420	2:05:56	296	2:59:30	358	2:08:36	269		295		50～59歳男子	50
314	48	太田 貴之	31	男	岡崎市	5:08:15	0:42:28	212	1:58:23	194	2:40:51	193	2:27:24	365		296		30～39歳男子	93
315	345	鬼頭 秀幸	49	男	静岡県	5:08:16	0:47:53	352	2:15:53	385	3:03:46	378	2:04:30	241		297		40～49歳男子	128
316	12	平原 直人	21	男	豊橋市	5:09:06	0:42:18	205	2:03:45	267	2:46:03	255	2:23:03	347		298		18～29歳男子	18
317	107	道下 智章	36	男	大阪府	5:09:37	0:44:31	279	2:12:41	362	2:57:12	343	2:12:25	297		299		30～39歳男子	94
318	497	川田 和美	52	女	名古屋市	5:09:39	0:49:40	383	2:06:30	307	2:56:10	333	2:13:29	300			19	50～59歳女子	3
319	139	稲垣 和彦	39	男	名古屋市	5:09:47	0:43:34	248	2:08:57	328	2:52:31	303	2:17:16	320		300		30～39歳男子	95
320	376	北別府 誠	51	男	東浦町	5:09:54	0:51:14	397	2:07:23	314	2:58:37	353	2:11:17	285		301		50～59歳男子	51
321	10	岸川 健太	20	男	豊橋市	5:10:21	0:49:03	372	1:57:00	171	2:46:03	254	2:24:18	353		302		18～29歳男子	19
322	301	平野 正也	46	男	蒲郡市	5:10:54	0:45:35	312	2:14:03	371	2:59:38	359	2:11:16	284		303		40～49歳男子	129
323	71	木村 好一	33	男	静岡県	5:10:57	0:43:00	233	2:03:05	258	2:46:05	256	2:24:52	358		304		30～39歳男子	96
324	398	佐橋 健一郎	52	男	名古屋市	5:12:39	0:48:27	362	2:07:48	318	2:56:15	334	2:16:24	315		305		50～59歳男子	52
325	152	今 雄飛	40	男	神奈川県	5:13:32	0:38:57	109	2:05:31	291	2:44:28	229	2:29:04	372		306		40～49歳男子	130
326	68	田中 恭兵	33	男	豊橋市	5:13:50	0:46:46	339	2:15:17	382	3:02:03	366	2:11:47	290		307		30～39歳男子	97
327	234	内田 龍夫	44	男	幸田町	5:14:08	0:43:21	242	2:15:13	379	2:58:34	352	2:15:34	313		308		40～49歳男子	131
328	280	加藤 政衛	44	男	大阪府	5:14:08	0:46:16	330	1:58:25	195	2:44:41	232	2:29:27	377		309		40～49歳男子	132
329	270	宮西 孝芳	39	男	奈良県	5:14:45	1:00:51	444	2:27:07	442	3:27:58	444	1:46:47	103		310		30～39歳男子	98
330	283	藤城 義久	45	男	豊橋市	5:15:46	0:46:08	327	2:08:30	323	2:54:38	323	2:21:08	336		311		40～49歳男子	133
331	317	松田 智男	47	男	神奈川県	5:16:05	0:44:03	262	1:56:43	168	2:40:46	191	2:35:19	401		312		40～49歳男子	134
332	378	穴見 直人	51	男	春日井市	5:16:13	0:47:55	353	2:04:30	274	2:52:25	301	2:23:48	349		313		50～59歳男子	53
333	35	窪田 道生	29	男	豊橋市	5:17:19	0:55:39	431	2:09:27	331	3:05:06	383	2:12:13	293		314		18～29歳男子	20
334	306	渡辺 玲児	46	男	豊川市	5:18:15	0:49:13	376	2:04:46	279	2:53:59	318	2:24:16	352		315		40～49歳男子	135
335	276	高橋 潔	44	男	名古屋市	5:18:21	0:53:57	424	2:02:39	251	2:56:36	339	2:21:45	339		316		40～49歳男子	136
336	395	吉田 昌弘	52	男	東海市	5:18:26	0:45:06	296	2:05:42	292	2:50:48	292	2:27:38	366		317		50～59歳男子	54
337	487	有江 和美	44	女	滋賀県	5:18:34	0:45:58	321	2:17:09	395	3:03:07	370	2:15:27	312			20	40～49歳女子	8
338	128	駒 直樹	38	男	春日井市	5:18:59	0:49:12	375	2:07:57	320	2:57:09	341	2:21:50	341		318		30～39歳男子	99
339	115	大久保 知弥	37	男	神奈川県	5:19:34	0:44:46	287	2:22:39	423	3:07:25	396	2:12:09	292		319		30～39歳男子	100
340	140	石黒 敦士	39	男	豊川市	5:20:09	0:42:18	206	2:06:08	299	2:48:26	269	2:31:43	388		320		30～39歳男子	101
341	297	持田 崇	46	男	豊川市	5:20:18	0:45:30	308	2:09:52	334	2:55:22	329	2:24:56	359		321		40～49歳男子	137
342	58	立松 俊洋	32	男	安城市	5:20:18	0:38:48	104	1:52:48	119	2:31:36	106	2:48:42	434		322		30～39歳男子	102
343	143	梅村 晃成	40	男	春日井市	5:20:24	0:38:25	95	2:14:15	374	2:52:40	306	2:27:44	367		323		40～49歳男子	138
344	188	江倉 勢人	42	男	東京都	5:20:41	0:49:19	378	2:07:16	312	2:56:35	338	2:24:06	350		324		40～49歳男子	139
345	392	山口 淳	52	男	豊橋市	5:21:00	0:47:24	347	2:19:56	415	3:07:20	394	2:13:40	301		325		50～59歳男子	55
346	492	山下 君江	47	女	岡崎市	5:21:11	0:49:41	385	2:23:36	429	3:13:17	420	2:07:54	267			21	40～49歳女子	9
347	91	弓削 一	35	男	三重県	5:21:24	0:48:27	363	2:18:56	406	3:07:23	395	2:14:01	303		326		30～39歳男子	103
348	213	尾崎 文紀	43	男	名古屋市	5:21:45	0:40:02	131	2:12:37	361	2:52:39	305	2:29:06	373		327		40～49歳男子	140
349	340	西脇 裕二	49	男	岐阜県	5:21:55	0:49:09	374	2:04:03	272	2:53:12	310	2:28:43	371		328		40～49歳男子	141
350	220	十都 善行	43	男	豊川市	5:22:02	0:38:42	100	2:05:44	293	2:44:26	228	2:37:36	407		329		40～49歳男子	142
351	252	植松 和正	28	男	香川県	5:22:02	0:52:44	411	2:01:02	235	2:53:46	315	2:28:16	369		330		18～29歳男子	21
352	352	落合 賢	49	男	名古屋市	5:22:13	0:43:25	244	2:15:17	383	2:58:42	354	2:23:31	348		331		40～49歳男子	143
353	422	清家 信久	54	男	和歌山県	5:22:20	0:44:58	291	2:13:16	367	2:58:14	350	2:24:06	351		332		50～59歳男子	56
354	175	真城 壮司	41	男	名古屋市	5:22:23	0:41:06	164	2:12:04	356	2:53:10	309	2:29:13	375		333		40～49歳男子	144
355	272	尾関 雅司	39	男	東京都	5:23:15	0:48:12	357	2:15:30	384	3:03:42	377	2:19:33	329		334		30～39歳男子	104
356	435	先山 惠司	57	男	大阪府	5:23:33	0:43:00	234	2:13:27	368	2:56:27	337	2:27:06	364		335		50～59歳男子	57
357	327	城野 剛伸	47	男	長久手市	5:23:41	0:58:38	439	2:10:03	336	3:08:41	402	2:15:00	309		336		40～49歳男子	145
358	118	服部 泰典	37	男	名古屋市	5:23:43	0:40:36	146	2:10:41	345	2:51:17	296	2:32:26	391		337		30～39歳男子	105
359	305	飯田 忠久	46	男	静岡県	5:23:54	0:44:24	274	2:04:30	275	2:48:54	275	2:35:00	399		338		40～49歳男子	146
360	494	岡本 令子	49	女	千葉県	5:24:02	0:49:42	386	2:16:21	391	3:06:03	387	2:17:59	322			22	40～49歳女子	10
361	125	岩本 真史	38	男	名古屋市	5:24:59	0:41:09	166	2:11:17	350	2:52:26	302	2:32:33	392		339		30～39歳男子	106
362	88	香田 浩一	34	男	名古屋市	5:25:06	0:44:33	283	2:24:37	433	3:09:10	405	2:13:56	302	120	340		30～39歳男子	107
363	17	鈴木 泰地	22	男	静岡県	5:26:30	0:46:31	334	2:02:50	254	2:49:21	279	2:37:09	406		341		18～29歳男子	22
364	451	杉浦 寛	62	男	碧南市	5:26:32	0:45:01	293	2:05:56	295	2:50:57	294	2:35:35	402		342		60歳以上男子	7
365	76	河合 要介	33	男	名古屋市	5:26:41	0:45:07	297	2:21:31	421	3:06:38	391	2:20:03	332		343		30～39歳男子	108
366	393	津志田 寿樹	52	男	東京都	5:27:03	0:56:47	435	2:17:57	402	3:14:44	424	2:12:19	296		344		50～59歳男子	58
367	370	杉浦 定康	50	男	安城市	5:27:11	0:54:00	425	2:21:13	418	3:15:13	426	2:11:58	291		345		50～59歳男子	59
368	136	角田 裕也	39	男	名古屋市	5:27:32	0:49:22	380	2:15:55	387	3:05:17	384	2:22:15	345		346		30～39歳男子	109
369	499	嶋田 扶佐恵	54	女	奈良県	5:27:45	0:46:10	329	2:17:09	396	3:03:19	371	2:24:26	356			23	50～59歳女子	4
370	113	北川 直哉	37	男	名古屋市	5:27:47	0:42:46	223	2:14:44	376	2:57:30	345	2:30:17	379		347		30～39歳男子	110
371	245	荒井 和彦	44	男	岡崎市	5:28:03	0:41:28	175	2:16:24	393	2:57:52	347	2:30:11	378		348		40～49歳男子	147
372	495	伊藤 理世	51	女	名古屋市	5:28:08	0:50:14	391	2:19:16	410	3:09:30	408	2:18:38	325			24	50～59歳女子	5
373	170	三輪 敏明	41	男	名古屋市	5:29:29	0:43:56	259	2:07:29	315	2:51:25	297	2:38:04	410		349		40～49歳男子	148
374	430	中村 浩一	55	男	東京都	5:29:52	0:52:48	412	2:11:50	355	3:04:38	380	2:25:14	361		350		50～59歳男子	60
375	379	羽賀 正幹	51	男	岐阜県	5:30:37	0:57:12	436	2:14:54	377	3:12:06	416	2:18:31	323		351		50～59歳男子	61
376	326	西田 弘一	47	男	常滑市	5:30:40	0:53:48	423	2:19:56	416	3:13:44	422	2:16:56	317		352		40～49歳男子	149
377	470	瓜生 佐代	20	女	蟹江町	5:31:08	0:43:43	254	2:26:27	439	3:10:10	412	2:20:58	335			25	18～29歳女子	1
378	314	宮沢 伸幸	47	男	東京都	5:31:36	0:47:11	346	2:16:11	390	3:03:22	372	2:28:14	368		353		40～49歳男子	150
379	316	今枝 良仁	47	男	長久手市	5:32:48	0:47:04	343	2:14:15	373	3:01:19	363	2:31:29	386		354		40～49歳男子	151
380	154	辻村 法雄	40	男	京都府	5:32:56	0:48:59	369	2:05:30	289	2:54:29	319	2:38:27	411		355		40～49歳男子	152
381	330	富永 隆彦	48	男	千葉県	5:33:10	0:44:43	285	2:48:44	453	3:33:27	449	1:59:43	196		356		40～49歳男子	153
382	490	出見 京子	47	女	春日井市	5:34:34	0:49:44	388	2:12:56	363	3:02:40	367	2:31:54	389			26	40～49歳女子	11
383	443	荻野 俊也	58	男	兵庫県	5:34:48	0:44:57	290	2:25:33	435	3:10:30	414	2:24:18	354		357		50～59歳男子	62
384	489	大村 泰子	46	女	名古屋市	5:34:57	0:45:44	314	2:24:29	432	3:10:13	413	2:24:44	357			27	40～49歳女子	12
385	97	中川 喬介	35	男	熊本県	5:35:14	0:59:13	440	2:14:13	372	3:13:26	421	2:21:48	340		358		30～39歳男子	111
386	346	神野 敬久	49	男	名古屋市	5:35:30	0:56:00	433	2:19:03	408	3:15:03	425	2:20:27	333		359		40～49歳男子	154
387	401	山田 雄一	53	男	岡山県	5:36:18	0:42:57	230	2:00:49	231	2:43:46	218	2:52:32	437		360		50～59歳男子	63
388	263	大和谷 広信	34	男	名古屋市	5:36:23	1:03:24	451	2:15:00	378	3:18:24	433	2:17:59	321		361		30～39歳男子	112
