総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
185	4514	⼩林 忠広	47	男	愛知県	1:59:17	0:40:56	182	0:04:47	0:42:18	173	0:31:16	178	161		45-49男⼦	22		
186	5502	⼭⽥ 寛之	55	男	⼤阪府	1:59:22	0:46:26	202	0:04:00	0:40:03	149	0:28:53	164	162		55-59男⼦	22		
187	4517	⼭川 智也	47	男	三重県	2:00:20	0:35:48	138	0:03:10	0:53:45	202	0:27:37	146	163		45-49男⼦	23		
188	403	⾦剛丸 朋⼦	43	⼥	兵庫県	2:01:17	0:41:55	190	0:03:21	0:41:27	163	0:34:34	189		25	40-44⼥⼦	2		
189	4507	箕浦 正⼈	45	男	愛知県	2:04:18	0:35:51	140	0:08:36	0:42:27	176	0:37:24	194	164		45-49男⼦	24		
190	5524	⻲井 智貴	59	男	愛知県	2:04:26	0:44:19	198	0:07:08	0:40:19	153	0:32:40	184	165		55-59男⼦	23		
191	5015	川上 佳孝	52	男	兵庫県	2:04:49	0:38:13	173	0:03:34	0:48:01	196	0:35:01	190	166		50-54男⼦	25		
192	5515	池 享造	57	男	奈良県	2:06:34	0:41:57	191	0:07:46	0:45:00	188	0:31:51	181	167		55-59男⼦	24		
193	5516	東川 和広	57	男	奈良県	2:09:11	0:46:01	200	0:03:41	0:44:26	186	0:35:03	191	168		55-59男⼦	25		
194	5016	⻘⼭ 浩久	52	男	三重県	2:09:45	0:46:29	203	0:04:07	0:49:06	199	0:30:03	175	169		50-54男⼦	26		
195	7004	⼈⾒ 隆	72	男	⼤阪府	2:10:12	0:40:25	180	0:04:57	0:45:52	190	0:38:58	195	170		70-74男⼦	4		
196	6014	⽇⽐野 幸喜	64	男	愛知県	2:10:49	0:35:50	139	0:04:29	0:48:09	197	0:42:21	199	171		60-64男⼦	13		
197	402	橋本 梢	43	⼥	三重県	2:14:25	0:38:20	174	0:03:05	0:53:11	201	0:39:49	197		26	40-44⼥⼦	3		
198	4024	園⽥ 将樹	44	男	愛知県	2:18:37	0:49:13	204	0:05:22	0:55:59	203	0:28:03	154	172		40-44男⼦	22		
199	5020	かーらー くりす	53	男	⼤阪府	2:21:02	0:41:29	187	0:04:15	0:47:53	194	0:47:25	202	173		50-54男⼦	27		
200	6504	⼭⽥ 信治	66	男	愛知県	2:21:15	0:42:37	193	0:06:53	0:48:19	198	0:43:26	200	174		65-69男⼦	10		
201	3501	中村 隆司	35	男	愛知県	2:22:39	0:43:09	194	0:05:24	0:47:27	192	0:46:39	201	175		35-39男⼦	15		
202	5526	伊藤 覚志	59	男	岐⾩県	2:25:40	0:46:16	201	0:07:47	0:52:02	200	0:39:35	196	176		55-59男⼦	26	岐⾩県男⼦	20
