順位	部⾨	№	⽒名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN	
139	49歳以下	203	菅野 正⼀	ｶﾝﾉ ﾏｻｶｽﾞ	3:12:08.017	139	0:35:29.076	114	0:06:06.252	1:24:18.723	149	0:02:27.258	1:03:46.708	149
140	49歳以下	199	⼩川 武宏	ｵｶﾞﾜ ﾀｹﾋﾛ	3:12:38.851	140	0:38:47.986	143	0:05:46.425	1:23:07.188	140	0:02:43.107	1:02:14.145	141
141	50歳代	297	福⽥ 寛之	ﾌｸﾀﾞ ﾋﾛﾕｷ	3:14:20.467	141	0:40:31.340	162	0:09:08.978	1:24:42.526	157	0:03:09.488	0:56:48.135	100
142	50歳代	315	井上 正浩	ｲﾉｳｴ ﾏｻﾋﾛ	3:14:26.101	142	0:42:00.071	171	0:09:22.188	1:24:17.702	148	0:03:03.476	0:55:42.664	95
143	49歳以下	126	法花津 武彦	ﾎｯｹﾂ ﾀｹﾋｺ	3:15:13.158	143	0:48:38.788	196	0:05:11.646	1:28:09.270	178	0:01:54.972	0:51:18.482	57
144	50歳代	317	池⽥ 達彦	ｲｹﾀﾞ ﾀﾂﾋｺ	3:15:24.482	144	0:40:42.291	163	0:09:05.980	1:29:40.430	187	0:01:45.365	0:54:10.416	76
145	50歳代	260	⿊⽊ 靖之	ｸﾛｷﾞ ﾔｽﾕｷ	3:16:00.065	145	0:33:02.058	84	0:06:15.399	1:23:17.816	141	0:02:40.677	1:10:44.115	186
146	50歳代	266	⼭本 道伸	ﾔﾏﾓﾄ ﾐﾁﾉﾌﾞ	3:16:09.945	146	0:38:48.532	144	0:07:15.210	1:22:11.208	131	0:02:36.872	1:05:18.123	158
147	49歳以下	147	⾚星 ⼤偉	ｱｶﾎｼ ﾀﾞｲｲ	3:16:14.573	147	0:36:23.187	119	0:05:45.379	1:24:35.740	154	0:02:25.367	1:07:04.900	170
148	60歳以上	344	⼤島 昇	ｵｵｼﾏ ﾉﾎﾞﾙ	3:16:45.361	148	0:37:18.165	130	0:07:26.391	1:24:44.252	158	0:03:37.844	1:03:38.709	148
149	50歳代	241	⾼井 伸太郎	ﾀｶｲ ｼﾝﾀﾛｳ	3:17:41.574	149	0:39:17.126	148	0:08:26.367	1:20:36.817	119	0:02:51.755	1:06:29.509	166
150	50歳代	288	⼤島 篤	ｵｵｼﾏ ｱﾂｼ	3:17:47.409	150	0:47:38.888	194	0:07:57.058	1:22:18.698	133	0:02:41.682	0:57:11.083	105
151	49歳以下	149	⽥⿅ 倫基	ﾀｼﾞｶ ﾄﾓｷ	3:18:41.437	151	0:43:55.983	186	0:06:30.440	1:28:59.846	183	0:01:31.129	0:57:44.039	111
152	60歳以上	351	⼭⼝ 満	ﾔﾏｸﾞﾁ ﾐﾂﾙ	3:19:22.827	152	0:31:20.436	63	0:08:09.652	1:31:36.220	192	0:02:43.816	1:05:32.703	161
153	50歳代	251	廣瀬 裕⼀	ﾋﾛｾ ﾕｳｲﾁ	3:20:15.306	153	0:39:55.003	158	0:08:21.218	1:18:38.225	102	0:03:20.236	1:10:00.624	182
154	60歳以上	349	橋本 信義	ﾊｼﾓﾄ ﾉﾌﾞﾖｼ	3:20:57.695	154	0:34:23.245	102	0:06:42.002	1:27:24.934	173	0:02:59.246	1:09:28.268	179
155	60歳以上	340	埜⽥ 芳弘	ﾉﾀﾞ ﾖｼﾋﾛ	3:21:43.349	155	0:40:59.144	166	0:09:10.705	1:26:41.777	171	0:02:42.151	1:02:09.572	140
156	50歳代	291	⼤坪 啓⼀郎	ｵｵﾂﾎﾞ ｹｲｲﾁﾛｳ	3:21:50.598	156	0:46:00.688	193	0:07:47.474	1:19:35.951	112	0:02:29.515	1:05:56.970	162
157	49歳以下	141	岩⽥ 貴裕	ｲﾜﾀ ﾀｶﾋﾛ	3:21:52.590	157	0:45:43.484	192	0:09:37.869	1:28:43.454	180	0:04:13.324	0:53:34.459	74
158	50歳代	279	北村 哲	ｷﾀﾑﾗ ｻﾄｼ	3:21:59.072	158	0:41:57.753	170	0:07:14.625	1:19:16.877	106	0:03:32.873	1:09:56.944	181
159	49歳以下	130	坂元 俊哉	ｻｶﾓﾄ ｼｭﾝﾔ	3:22:11.728	159	0:31:02.335	58	0:05:46.428	1:34:21.592	199	0:02:15.485	1:08:45.888	174
160	50歳代	306	阪本 真司	ｻｶﾓﾄ ｼﾝｼﾞ	3:22:23.507	160	0:40:54.149	165	0:08:32.730	1:28:51.553	182	0:03:31.164	1:00:33.911	129
161	50歳代	275	⽊村 憲司	ｷﾑﾗ ｹﾝｼﾞ	3:22:30.389	161	0:36:57.779	126	0:06:56.332	1:22:44.429	138	0:05:22.288	1:10:29.561	183
162	49歳以下	185	畑 英⼀郎	ﾊﾀ ｴｲｲﾁﾛｳ	3:22:30.792	162	0:38:17.129	140	0:07:15.824	1:24:39.716	156	0:03:18.729	1:08:59.394	175
163	50歳代	289	狩集 ⼀彦	ｶﾘｱﾂﾒ ｶｽﾞﾋｺ	3:22:45.497	163	0:42:08.092	172	0:08:12.531	1:26:27.440	169	0:02:19.965	1:03:37.469	147
164	60歳以上	330	糠塚 雅樹	ﾇｶﾂｶ ﾏｻｷ	3:23:21.014	164	0:33:46.487	93	0:07:13.237	1:24:21.928	151	0:02:29.271	1:15:30.091	193
165	49歳以下	161	古川 徳厚	ﾌﾙｶﾜ ﾉﾘｱﾂ	3:23:42.110	165	0:43:12.762	182	0:05:59.511	1:25:47.363	165	0:02:07.806	1:06:34.668	167
166	50歳代	236	坂井 史明	ｻｶｲ ﾌﾐｱｷ	3:23:46.798	166	0:39:11.432	147	0:07:32.398	1:29:24.485	186	0:02:31.829	1:05:06.654	156
167	60歳以上	342	甲斐 圭祐	ｶｲ ｹｲｽｹ	3:24:27.204	167	0:43:21.833	183	0:08:22.894	1:17:18.597	89	0:02:43.338	1:12:40.542	188
168	50歳代	262	鍋倉 貴⾏	ﾅﾍﾞｸﾗ ﾀｶﾕｷ	3:24:28.930	168	0:32:54.086	81	0:09:15.796	1:24:23.120	152	0:03:51.226	1:14:04.702	191
169	49歳以下	142	平須賀 信洋	ﾋﾗｽｶﾞ ﾉﾌﾞﾋﾛ	3:24:37.568	169	0:38:07.320	137	0:08:06.354	1:25:12.557	161	0:02:34.319	1:10:37.018	185
170	49歳以下	113	埜⽥ 潤	ﾉﾀﾞ ｼﾞｭﾝ	3:24:42.159	170	0:44:11.388	187	0:12:00.284	1:26:41.334	170	0:02:41.121	0:59:08.032	121
171	50歳代	296	吉村 宗典	ﾖｼﾑﾗ ﾑﾈﾉﾘ	3:25:30.305	171	0:34:30.570	104	0:07:30.797	1:28:49.088	181	0:04:07.749	1:10:32.101	184
172	49歳以下	132	⽊村 知弘	ｷﾑﾗ ﾄﾓﾋﾛ	3:26:23.694	172	SKIP			1:32:32.975	195	0:02:32.090	0:39:08.846	5
173	50歳代	237	渕上 和久	ﾌﾁｶﾐ ｶｽﾞﾋｻ	3:27:01.278 3	/1 753 ペ	0ー:5ジ0:42.288	198	0:07:41.645	1:27:10.209	172	0:01:26.056	1:00:01.080	125
174	49歳以下	154	⽯川 知佳	ｲｼｶﾜ ﾄﾓﾖｼ	3:28:04.959	174	0:37:56.371	136	0:07:56.814	1:29:51.998	188	0:04:09.930	1:08:09.846	173
175	60歳以上	353	諌⼭ 康成	ｲｻﾔﾏ ﾔｽﾅﾘ	3:28:13.950	175	0:38:15.002	139	0:09:38.481	1:31:41.240	193	0:03:44.496	1:04:54.731	154
176	49歳以下	133	加藤 明仁	ｶﾄｳ ｱｷﾋﾄ	3:28:19.044	176	0:45:26.519	191	0:06:08.200	1:22:22.047	136	0:01:39.488	1:12:42.790	189
177	60歳以上	356	太⽥ ⼀郎	ｵｵﾀ ｲﾁﾛｳ	3:28:56.380	177	0:31:21.263	64	0:07:30.675	1:29:16.634	184	0:02:08.348	1:18:39.460	196
178	49歳以下	204	⻄河 喜之	ﾆｼｶﾜ ﾖｼﾕｷ	3:29:47.014	178	SKIP			1:16:10.463	69	0:02:56.307	0:57:17.868	109
179	50歳代	238	⻑友 ⼀郎	ﾅｶﾞﾄﾓ ｲﾁﾛｳ	3:30:58.328	179	SKIP			1:22:21.237	135	0:03:26.568	0:55:07.932	86
180	49歳以下	136	⾦⼦ 真之	ｶﾈｺ ﾏｻﾕｷ	3:32:26.463	180	0:44:38.070	190	0:06:42.711	1:37:42.593	206	0:02:09.390	1:01:13.699	135
181	49歳以下	115	江⼝ 瑛	ｴｸﾞﾁ ｱｷﾗ	3:35:45.059	181	SKIP			1:20:07.791	116	0:03:04.481	0:58:59.828	120
182	60歳以上	343	鈴⽊ 信夫	ｽｽﾞｷ ﾉﾌﾞｵ	3:36:15.911	182	SKIP			1:21:11.779	123	0:05:36.292	1:02:18.160	142
183	60歳以上	335	中塚 輝夫	ﾅｶﾂｶ ﾃﾙｵ	3:36:32.565	183	0:42:27.659	176	0:06:49.538	1:24:23.995	153	0:02:34.786	1:20:16.587	198
184	50歳代	272	薦⽥ 勉	ｺﾓﾀﾞ ﾂﾄﾑ	3:36:51.812	184	0:39:53.697	157	0:09:15.843	1:35:14.876	202	0:03:15.507	1:09:11.889	177
185	60歳以上	331	⽮次 泰明	ﾔﾂｷﾞ ﾔｽｱｷ	3:39:19.238	185	0:42:44.418	178	0:07:42.049	1:34:31.581	200	0:04:42.651	1:09:38.539	180
186	49歳以下	222	藤井 秀昭	ﾌｼﾞｲ ﾋﾃﾞｱｷ	3:39:30.597	186	SKIP			1:17:01.426	85	0:02:28.356	1:06:03.188	163
187	60歳以上	339	⼤⻄ ⽂昭	ｵｵﾆｼ ﾌﾐｱｷ	3:39:48.674	187	0:33:46.652	94	0:07:52.247	1:30:09.519	191	0:02:49.667	1:25:10.589	201
188	49歳以下	145	鷲澤 圭	ﾜｼｻﾞﾜ ｹｲ	3:39:53.118	188	0:44:16.648	188	0:08:25.953	1:35:49.092	204	0:02:16.552	1:09:04.873	176
189	49歳以下	198	⻄江 正彦	ﾆｼｴ ﾏｻﾋｺ	3:39:55.048	189	SKIP			1:25:11.939	160	0:03:00.476	0:58:03.355	113
190	60歳以上	329	⾼浜 隆史	ﾀｶﾊﾏ ﾀｶｼ	3:41:45.502	190	0:42:18.854	174	0:11:13.842	1:29:23.716	185	0:02:59.439	1:15:49.651	194
191	50歳代	257	吉川 義章	ｷｯｶﾜ ﾖｼｱｷ	3:42:43.021	191	0:40:22.001	160	0:08:11.115	1:27:29.305	174	0:01:58.341	1:24:42.259	200
192	49歳以下	127	原⼝ 恵太郎	ﾊﾗｸﾞﾁ ｹｲﾀﾛｳ	3:43:40.959	192	0:39:30.288	151	0:10:51.699	1:33:12.084	198	0:02:36.984	1:17:29.904	195
193	49歳以下	220	上⽥ 祐司	ｳｴﾀﾞ ﾕｳｼﾞ	3:44:03.694	193	0:56:09.594	200	0:07:55.130	1:29:56.909	189	0:02:51.660	1:07:10.401	171
194	49歳以下	164	森垣 昭	ﾓﾘｶﾞｷ ｱｷﾗ	3:44:03.792	194	SKIP			1:25:00.044	159	0:02:57.931	1:01:35.672	137
195	49歳以下	186	伊藤 智博	ｲﾄｳ ﾄﾓﾋﾛ	3:44:22.057	195	0:55:20.744	199	0:11:29.655	1:27:57.884	176	0:03:18.367	1:06:15.407	165
196	49歳以下	144	永瀬 正也	ﾅｶﾞｾ ﾏｻﾔ	3:46:41.944	196	SKIP			1:27:59.714	177	0:01:54.780	1:01:22.273	136
197	49歳以下	117	島野 耕平	ｼﾏﾉ ｺｳﾍｲ	3:46:49.402	197	0:48:46.992	197	0:10:12.090	1:40:08.170	210	0:03:20.888	1:04:21.262	151
198	60歳以上	323	⾼井 吉雄	ﾀｶｲ ﾖｼｵ	3:49:49.429	198	0:39:42.248	153	0:08:39.842	1:30:07.307	190	0:03:31.962	1:27:48.070	204
199	60歳以上	355	佐藤 博⾏	ｻﾄｳ ﾋﾛﾕｷ	3:53:36.693	199	0:43:09.635	181	0:09:33.794	1:38:03.810	207	0:03:58.882	1:18:50.572	197
200	49歳以下	128	⻄川 翔⼈	ﾆｼｶﾜ ｼｮｳﾄ	3:55:06.212	200	0:42:14.974	173	0:13:38.104	1:43:01.427	212	0:03:03.602	1:13:08.105	190
201	49歳以下	156	深⽥ 和志	ﾌｶﾀﾞ ｶｽﾞﾕｷ	3:55:31.398	201	0:39:45.376	155	0:07:06.276	1:43:41.489	213	0:02:04.750	1:22:53.507	199
202	49歳以下	201	⼭中 和幸	ﾔﾏﾅｶ ｶｽﾞﾕｷ	3:56:22.549	202	0:43:51.167	185	0:07:28.562	1:28:41.146	179	0:03:43.409	1:32:38.265	207
203	49歳以下	143	酒井 淳司	ｻｶｲ ｱﾂｼ	3:57:37.365	203	0:39:37.400	152	0:07:28.197	1:36:22.620	205	0:04:03.538	1:30:05.610	205
204	415	森 奈津代	ﾓﾘ ﾅﾂﾖ	2:29:58.825	1	0:24:55.088	2	0:03:32.742	1:13:29.565	1	0:00:53.850	0:47:07.580	2	
205	401	⿊⽊ 李紅	ｸﾛｷ ﾘｸ	2:34:37.792	2	0:23:59.195	1	0:03:07.848	1:14:53.975	3	0:00:58.132	0:51:38.642	4	
206	420	品川 貴⼦	ｼﾅｶﾞﾜ ﾀｶｺ	2:43:21.158	3	0:29:30.995	6	0:04:46.347	1:14:00.921	2	0:02:18.041	0:52:44.854	5	
207	402	橋 英	ﾊｼ ｱｷ	2:43:53.446	4	0:29:03.239	5	0:03:49.993	1:19:30.210	5	0:01:24.656	0:50:05.348	3	
208	425	本⽥ 恵津⼦	ﾎﾝﾀﾞ ｴﾂｺ	2:54:35.787	5	0:39:00.122	14	0:05:57.168	1:20:38.319	7	0:01:58.594	0:47:01.584	1	
209	422	渡辺 広美	ﾜﾀﾅﾍﾞ ﾋﾛﾐ	2:54:43.240	6	0:30:19.165	7	0:04:31.841	1:20:39.286	8	0:01:13.780	0:57:59.168	11	
210	424	⼩⾕ ﾙﾐ⼦	ｺﾀﾆ ﾙﾐｺ	2:55:09.703	7	0:32:21.446	8	0:05:56.289	1:20:56.522	9	0:02:26.819	0:53:28.627	6	
211	417	津江 友紀	ﾂｴ ﾕｷ	2:55:46.102	8	0:26:20.928	3	0:05:13.546	1:24:09.681	13	0:02:27.508	0:57:34.439	10	
212	413	⽶⽥ はる	ﾖﾈﾀﾞ ﾊﾙ	2:59:47.190	9	0:32:51.883	9	0:05:20.615	1:23:59.546	12	0:01:44.447	0:55:50.699	7	
213	404	酒井 春菜	ｻｶｲ ﾊﾙﾅ	3:02:50.132	10	0:26:56.131	4	0:05:59.196	1:24:57.056	15	0:01:33.605	1:03:24.144	15	
214	411	花澤 彩	ﾊﾅｻﾞﾜ ｱﾔ	3:05:12.441	11	0:36:19.982	13	0:06:36.447	1:18:37.461	4	0:02:57.742	1:00:40.809	12	
215	418	⽵崎 亜紀⼦	ﾀｹｻﾞｷ ｱｷｺ	3:06:53.621	12	0:35:57.842	12	0:04:51.523	1:20:59.540	10	0:01:56.707	1:03:08.009	14	
216	414	濱⽥ 明⼦	ﾊﾏﾀﾞ ｱｷｺ	3:08:51.730	13	0:43:08.676	19	0:05:37.915	1:20:29.820	6	0:02:30.785	0:57:04.534	8	
217	410	榛葉 都	ｼﾝﾊﾞ ﾐﾔｺ	3:17:50.203	14	0:41:55.908	18	0:07:56.414	1:27:19.728	16	0:03:07.934	0:57:30.219	9	
218	427	⼩⼜ 茂⼦	ｺﾏﾀ ｼｹﾞｺ	3:22:15.494	15	0:33:35.943	10	0:07:05.415	1:23:14.557	11	0:02:47.497	1:15:32.082	24	
219	416	越智 奈美江	ｵﾁ ﾅﾐｴ	3:24:17.595	16	0:35:44.516	11	0:08:38.720	1:29:19.407	18	0:02:25.643	1:08:09.309	19	
220	429	漆 紫穂⼦	ｳﾙｼ ｼﾎｺ	3:27:46.692	17	0:39:32.186	15	0:07:28.297	1:24:35.110	14	0:03:34.632	1:12:36.467	23	
221	423	北村 美智⼦	ｷﾀﾑﾗ ﾐﾁｺ	3:29:54.471	18	0:44:09.392	21	0:06:47.581	1:33:28.986	21	0:03:00.052	1:02:28.460	13	
222	409	須⾙ 佳⼦	ｽｶﾞｲ ﾖｼｺ	3:37:51.001	19	0:40:26.134	17	0:09:28.128	1:35:34.998	23	0:03:15.424	1:09:06.317	21	
223	403	⻑⽥ 華凜	ｵｻﾀﾞ ｶﾘﾝ	3:38:03.756	20	0:43:43.086	20	0:11:11.469	1:32:49.988	20	0:02:04.525	1:08:14.688	20	
224	408	宮井 亜紗⼦	ﾐﾔｲ ｱｻｺ	3:38:03.927	21	0:50:08.440	24	0:09:20.408	1:31:37.638	19	0:02:32.514	1:04:24.927	17	
225	426	清⽔ 浩⼦	ｼﾐｽﾞ ﾋﾛｺ	3:39:29.692	22	0:44:31.862	22	0:07:46.560	1:34:03.095	22	0:02:29.414	1:10:38.761	22	
226	407	岡⽥ 夏奈	ｵｶﾀﾞ ｶﾅ	3:42:52.282	23	0:39:39.917	16	0:09:02.555	1:41:52.816	25	0:05:38.676	1:06:38.318	18	
227	430	瀬々井 ﾊﾙ⼦	ｾｾｲ ﾊﾙｺ	3:57:22.279	25	0:44:42.064	23	0:08:03.118	1:40:04.030	24	0:03:54.563	1:20:38.504	25	
228	406	砂⾛ あづみ	ｽﾅﾊﾞｼﾘ ｱﾂﾞﾐ	3:44:54.222	24	SKIP			1:27:58.034	17	0:03:31.553	1:03:33.447	16	
