総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
99	605	松下 洋介	32	男	愛知県	3:00:04	0:39:15	202	1:21:33	41	2:00:48	75	0:59:16	106		94		30-34歳	14
100	661	山田 修作	38	男	愛知県	3:00:22	0:34:09	85	1:25:58	76	2:00:07	70	1:00:15	108		95		35-39歳	18
101	515	鈴木 佑歩	19	男	愛知県	3:00:25	0:34:05	82	1:32:33	169	2:06:38	116	0:53:47	83		96		19歳以下	2
102	648	小崎 宏	36	男	愛知県	3:00:48	0:35:26	113	1:27:51	99	2:03:17	89	0:57:31	103		97		35-39歳	19
103	694	梅村 徹	41	男	愛知県	3:01:48	0:39:28	212	1:30:52	136	2:10:20	158	0:51:28	69		98		40-44歳	22
104	644	本田 名	36	男	愛知県	3:03:12	0:28:23	20	1:27:03	89	1:55:26	45	1:07:46	110		99		35-39歳	20
105	746	都筑 幹若	44	男	愛知県	3:03:14	0:37:43	161	1:26:15	79	2:03:58	94	0:59:16	105		100		40-44歳	23
106	633	碓井 瑞生	35	男	愛知県	3:03:43	0:38:20	174	1:28:26	109	2:06:46	119	0:56:57	99		101		35-39歳	21
107	672	吉田 哲司	39	男	愛知県	3:04:02	0:33:18	66	1:34:27	199	2:07:45	129	0:56:17	95		102		35-39歳	22
108	553	黒田 直基	27	男	愛知県	3:04:12	0:27:27	13	1:34:26	198	2:01:53	80	1:00:19	109	120	103		25-29歳	8
109	565	山田 久	28	男	愛知県	3:04:33	0:40:53	248	1:30:19	132	2:11:12	168	0:53:21	81		104		25-29歳	9
110	623	鈴木 淳之	34	男	愛知県	3:04:44	0:36:57	145	1:34:29	201	2:11:26	171	0:53:18	79		105		30-34歳	15
参考記録	723	加藤 一	43	男	愛知県		0:27:41	17	1:27:12	93	1:54:53	43						40-44歳	
参考記録	785	西川 浩史	47	男	愛知県		0:35:59	125	1:22:57	51	1:58:56	62						45-49歳	
参考記録	786	山崎 力	47	男	愛知県		0:35:42	119	1:25:22	70	2:01:04	76						45-49歳	
参考記録	744	金子 学	44	男	愛知県		0:41:45	274	1:19:32	33	2:01:17	77						40-44歳	
参考記録	770	大熊 秀尚	46	男	愛知県		0:39:32	218	1:22:10	45	2:01:42	79						45-49歳	
参考記録	830	鈴木 一正	50	男	静岡県		0:36:21	132	1:26:17	80	2:02:38	86						50-54歳	
参考記録	812	神戸 昭雄	49	男	滋賀県		0:34:55	102	1:28:54	114	2:03:49	92						45-49歳	
参考記録	854	和田 直樹	52	男	愛知県		0:38:57	194	1:24:56	67	2:03:53	93						50-54歳	
参考記録	833	小嶋 俊久	51	男	愛知県		0:36:49	142	1:27:29	95	2:04:18	98						50-54歳	
参考記録	820	一宮 修	50	男	愛知県		0:34:53	101	1:29:52	125	2:04:45	102						50-54歳	
参考記録	802	伊藤 雄介	48	男	愛知県		0:43:15	311	1:21:32	40	2:04:47	103						45-49歳	
参考記録	748	深谷 一紀	44	男	愛知県		0:32:01	56	1:32:59	178	2:05:00	104						40-44歳	
