順位	部門	№	氏名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN		ｸﾗｽ	ｸﾗｽ別順位	JTU登録地
70	60歳以上	626	西田 真人	ニシダ マサト	2:47:09.500	70	0:29:08.369	67	0:04:22.206	1:13:23.105	70	0:02:33.829	0:57:41.991	144	60-64M	4	福岡県
71	49歳以下	371	米田 浩之	ヨネダ ヒロユキ	2:47:18.958	71	0:33:25.797	136	0:06:07.582	1:12:29.191	65	0:03:39.201	0:51:37.187	80	45-49M	17	宮崎県
72	50歳代	496	牧野 康伸	マキノ ヤスノブ	2:47:20.778	72	0:29:40.374	73	0:05:05.300	1:16:04.543	113	0:02:24.026	0:54:06.535	112	55-59M	6	宮崎県
73	49歳以下	222	廣瀬 拓巳	ヒロセ タクミ	2:47:37.274	73	0:33:49.358	149	0:04:33.099	1:15:16.038	101	0:02:11.954	0:51:46.825	82	25-29M	8	学連
74	49歳以下	284	中山 陽平	ナカヤマ ヨウヘイ	2:48:08.800	74	0:39:56.923	276	0:05:59.954	1:13:42.398	77	0:02:40.515	0:45:49.010	41	35-39M	10	鹿児島県
75	50歳代	489	坂本  憲治	サカモト  ケンジ	2:48:17.068	75	0:36:15.851	202	0:06:09.222	1:10:52.631	42	0:02:51.498	0:52:07.866	86	55-59M	7	熊本県
76	49歳以下	372	横山 浩二	ヨコヤマ コウジ	2:48:22.422	76	0:29:00.431	65	0:04:47.679	1:15:36.086	105	0:02:47.402	0:56:10.824	132	45-49M	18	宮崎県
77	50歳代	403	津曲 宏昭	ツマガリ ヒロアキ	2:48:25.106	77	0:34:26.468	167	0:05:51.591	1:17:13.886	125	0:02:46.467	0:48:06.694	53	50-54M	14	宮崎県
78	49歳以下	387	廣瀬 一二	ヒロセ カズジ	2:48:26.900	78	0:37:49.282	226	0:04:31.984	1:12:10.627	60	0:02:51.730	0:51:03.277	75	45-49M	19	大分県
79	50歳代	478	三木 剛	ミキ ツヨシ	2:48:28.089	79	0:34:39.467	174	0:05:18.325	1:14:28.901	90	0:02:46.096	0:51:15.300	77	50-54M	15	東京都
80	50歳代	479	三浦 洋司	ミウラ ヒロシ	2:48:39.301	80	0:35:19.827	189	0:05:29.612	1:13:57.514	80	0:03:10.942	0:50:41.406	69	50-54M	16	福岡県
81	50歳代	440	永岡  剛士	ナガオカ  ツヨシ	2:48:55.857	81	0:32:50.076	122	0:05:00.682	1:15:59.273	112	0:02:35.966	0:52:29.860	89	50-54M	17	宮崎県
82	60歳以上	657	入江  和也	イリエ  カズヤ	2:48:59.193	82	0:24:53.334	22	0:05:12.333	1:19:58.892	160	0:03:56.027	0:54:58.607	122	70-74M	1	熊本県
83	50歳代	453	河上 恵典	カワカミ ヨシノリ	2:49:18.640	83	0:36:35.888	210	0:04:46.845	1:10:02.536	35	0:03:29.747	0:54:23.624	116	50-54M	18	長崎県
84	50歳代	407	田中 学	タナカ マナブ	2:49:22.618	84	0:34:51.370	180	0:07:27.510	1:14:13.707	85	0:03:18.872	0:49:31.159	61	50-54M	19	福岡県
85	49歳以下	224	黒尾丸 智拓	クロオマル チヒロ	2:49:33.574	85	0:23:00.919	11	0:02:50.466	1:18:11.060	135	0:02:18.860	1:03:12.269	209	25-29M	9	福岡県
86	50歳代	411	池本 多賀正	イケモト タカマサ	2:49:46.528	86	0:32:21.834	111	0:06:43.935	1:15:59.182	111	0:03:45.027	0:50:56.550	73	50-54M	20	東京都
87	49歳以下	321	梁木 理史	ヤナキ マサシ	2:49:52.316	87	0:31:48.491	104	0:05:51.794	1:11:19.618	51	0:02:58.884	0:57:53.529	146	40-44M	8	福岡県
88	49歳以下	303	宮本  大輔	ミヤモト  ダイスケ	2:50:06.588	88	0:23:04.188	12	0:05:20.763	1:11:01.002	47	0:03:56.930	1:06:43.705	236	40-44M	9	福岡県
89	50歳代	514	清水 秀和	シミズ ヒデカズ	2:50:09.499	89	0:29:40.054	72	0:06:02.878	1:16:33.087	119	0:04:05.927	0:53:47.553	106	55-59M	8	宮崎県
90	50歳代	424	北嶋 禎治	キタシマ サダハル	2:50:23.948	90	0:34:37.414	173	0:06:06.850	1:10:46.343	39	0:04:20.297	0:54:33.044	118	50-54M	21	福岡県
91	50歳代	409	野元 靖史	ノモト ヤスシ	2:50:29.012	91	0:31:22.510	97	0:05:14.823	1:16:07.449	114	0:03:06.770	0:54:37.460	120	50-54M	22	宮崎県
92	50歳代	455	橋本  衛	ハシモト  マモル	2:50:38.354	92	0:35:39.120	195	0:05:02.679	1:16:20.320	116	0:03:42.548	0:49:53.687	63	50-54M	23	兵庫県
93	50歳代	402	大庭 純一	オオニワ ジュンイチ	2:50:42.134	93	0:37:44.810	224	0:06:07.653	1:10:12.494	37	0:03:11.493	0:53:25.684	101	50-54M	24	鹿児島県
94	50歳代	483	尾藤 航治	ビトウ コウジ	2:50:44.486	94	0:33:35.028	140	0:08:37.866	1:15:21.646	104	0:04:31.129	0:48:38.817	55	55-59M	9	大阪府
