総合順位	No.	氏名	年齢	性別	登録地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
SKIP	1183	松村　優	36	男	長崎県	9:22:09					5:26:19		3:55:50				M35～39	
DNF	1002	山口　博	80	男	長崎県												M80～84	
DNF	1003	光井　登志彦	79	男	福岡県												M75～79	
DNF	1016	脇本　正己	72	男	兵庫県												M70～74	
DNF	1026	加地　信司	68	男	北海道												M65～69	
DNF	1044	青木　武雄	65	男	沖縄県												M65～69	
DNF	1075	山崎　英樹	60	男	神奈川県												M60～64	
DNF	1081	伊藤　年伸	60	男	愛知県												M60～64	
DNF	1086	佐野　星司	59	男	神奈川県												M55～59	
DNF	1091	上野　健	58	男	東京都												M55～59	
DNF	1167	井手　慎二	43	男	佐賀県												M40～44	
DNF	1169	伊藤　智彦	43	男	宮崎県												M40～44	
DNF	1201	脇本　正子	69	女	兵庫県												W65～69	
DNF	1204	今本　待喜子	63	女	東京都												W60～64	
DNF	1239	高田　美恵	45	女	東京都												W45～49	
DNS	1015	今鷹　修	73	男	熊本県												M70～74	
DNS	1021	渡邉　啓一	70	男	佐賀県												M70～74	
DNS	1024	古川　一弥	69	男	長崎県												M65～69	
DNS	1028	美山　俊一	68	男	岡山県												M65～69	
DNS	1047	林　政孝	64	男	長崎県												M60～64	
DNS	1051	上白石　守	63	男	東京都												M60～64	
DNS	1052	永田　和則	63	男	兵庫県												M60～64	
DNS	1055	寺本　祥	63	男	福岡県												M60～64	
DNS	1092	安部　淳人	58	男	福岡県												M55～59	
DNS	1098	戸部田　哲也	57	男	神奈川県												M55～59	
DNS	1100	松永　顕浩	57	男	東京都												M55～59	
DNS	1101	石川　眞一郎	56	男	東京都												M55～59	
DNS	1120	濱口　貴幸	53	男	長崎県												M50～54	
DNS	1126	高津　智仁	51	男	東京都												M50～54	
DNS	1135	大久保　輝	50	男	熊本県												M50～54	
DNS	1145	手島　伸晃	48	男	佐賀県												M45～49	
DNS	1146	田中　智史	48	男	宮崎県												M45～49	
DNS	1166	富士　宗一郎	43	男	東京都												M40～44	
DNS	1172	田北　万世	42	男	大分県												M40～44	
DNS	1185	西岡　武尊	35	男	東京都												M35～39	
DNS	1186	宮城　徹	35	男	東京都												M35～39	
DNS	1209	嶋里　豊子	60	女	長崎県												W60～64	
DNS	1214	中田　鈴子	59	女	京都府												W55～59	
DNS	1216	浜田　典子	59	女	愛知県												W55～59	
DNS	1223	柴田　佳代子	56	女	東京都												W55～59	
DNS	1250	LIN　Yu Chi	29	女	台灣										
