総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ランラップ	R順	年代区分	年代順位	年齢	年齢順位
71	6079	ﾊｶﾞ ｹﾝﾀﾛｳ	35	男	2:58:10	0:49:46	318	0:09:09	54	1:05:53	16	2:04:48	69	0:03:27	226	0:49:55	133	男子35-39歳	7	35	
72	5031	ｲﾏﾍﾞｯﾌﾟ ｼｮｳﾀﾛｳ	48	男	2:58:13	0:36:35	75	0:09:29	68	1:22:18	249	2:08:22	88	0:02:32	78	0:47:19	92	男子45-49歳	10	48	
73	7055	ﾜﾀﾅﾍﾞ ｼﾞｭﾝ	47	男	2:58:24	0:33:54	48	0:10:09	94	1:18:17	158	2:02:20	60	0:02:51	116	0:53:13	200	男子45-49歳	11	47	
74	5151	ｶﾝﾉ ﾅﾙﾋﾛ	18	男	2:58:44	0:42:16	141	0:09:36	74	1:18:30	161	2:10:22	114	0:03:48	288	0:44:34	57	男子24歳以下	24	18	
75	7009	ﾔﾏｳﾁ ﾀｹｼ	44	男	2:58:52	0:30:08	29	0:11:13	156	1:20:57	211	2:02:18	59	0:03:23	211	0:53:11	199	男子40-44歳	11	44	
76	6097	ｾﾄ ﾀﾂﾔ	36	男	2:58:52	0:49:18	310	0:11:03	147	1:09:09	34	2:09:30	102	0:02:54	128	0:46:28	80	男子35-39歳	8	36	
77	6033	ﾖｺﾔﾏ ｿｳﾔ	33	男	2:59:46	0:43:46	164	0:11:06	150	1:14:32	85	2:09:24	98	0:02:42	95	0:47:40	96	男子30-34歳	7	33	
78	5064	ｺﾐﾔ ｵｳｼﾞﾛｳ	21	男	3:00:00	0:48:36	291	0:11:16	160	1:13:06	65	2:12:58	138	0:02:28	68	0:44:34	57	男子24歳以下	25	21	
79	6118	ｲﾓﾄ ﾕｳｷ	38	男	3:00:01	0:46:55	242	0:09:37	75	1:12:38	54	2:09:10	95	0:02:50	113	0:48:01	102	男子35-39歳	9	38	
80	6101	ｴﾝﾄﾞｳ ﾏｻﾋﾛ	37	男	3:00:10	0:43:31	159	0:11:02	145	1:15:12	93	2:09:45	106	0:03:04	151	0:47:21	93	男子35-39歳		37	
81	7056	ｼﾊﾞ ﾀﾂﾔ	47	男	3:00:22	0:45:56	218	0:11:39	189	1:14:13	81	2:11:48	125	0:03:00	142	0:45:34	72	男子45-49歳	12	47	
82	5134	ﾌｼﾞｲ ｺｳｷ	27	男	3:00:29	0:42:36	148	0:09:27	67	1:20:23	198	2:12:26	131	0:03:07	162	0:44:56	63	男子25-29歳	7	27	
83	8633	ｼﾝﾖｼ ｺｳﾀﾞｲ	26	男	3:00:36	0:28:24	17	0:11:03	147	1:19:40	189	1:59:07	45	0:02:53	124	0:58:36	299	男子25-29歳	8	26	
84	5052	ｻｶﾓﾄ ﾏｻﾉﾘ	52	男	3:00:36	0:35:29	60	0:12:31	243	1:16:55	134	2:04:55	72	0:03:02	146	0:52:39	186	男子50-54歳	8	52	
85	7061	ｳｴﾑﾗ ﾀｶｱｷ	47	男	3:00:36	0:44:37	187	0:10:30	114	1:16:49	131	2:11:56	126	0:02:36	83	0:46:04	76	男子45-49歳	13	47	
86	6179	ｲｼﾏﾙ ｼﾝｼﾞ	42	男	3:00:47	0:47:10	249	0:10:09	94	1:16:28	122	2:13:47	146	0:02:11	38	0:44:49	61	男子40-44歳	12	42	
87	6064	ﾊﾏﾉ ｼｮｳﾍｲ	34	男	3:01:01	0:39:22	113	0:12:43	265	1:19:31	184	2:11:36	123	0:03:14	186	0:46:11	77	男子30-34歳	8	34	
88	8042	ｲﾁｶﾜ ﾕｷﾋﾛ	57	男	3:01:12	0:44:26	183	0:09:07	53	1:15:46	104	2:09:19	97	0:02:50	113	0:49:03	119	男子55-59歳	4	57	
89	8602	ｷﾊﾗ ｻﾄｼ	51	男	3:01:42	0:33:18	43	0:10:03	87	1:21:32	226	2:04:53	70	0:02:59	139	0:53:50	221	男子50-54歳	9	51	
90	7091	ﾋﾛﾔ ｼｭﾝﾀﾛｳ	49	男	3:01:49	0:45:32	208	0:10:42	120	1:13:36	74	2:09:50	107	0:02:50	113	0:49:09	122	男子45-49歳	14	49	
91	5163	ﾆｯﾀ ｼｮｳﾉｷﾁ	20	男	3:02:13	0:45:50	215	0:07:58	32	1:16:32	124	2:10:20	112	0:02:47	106	0:49:06	120	男子24歳以下	26	20	
92	7038	ｼﾉﾊﾗ ﾖｳﾍｲ	46	男	3:02:30	0:48:05	271	0:08:22	38	1:09:41	37	2:06:08	79	0:02:49	110	0:53:33	214	男子45-49歳	15	46	
93	6150	ｶｷﾔ ﾅﾙﾋﾛ	40	男	3:02:46	0:48:15	282	0:11:43	194	1:16:36	125	2:16:34	184	0:02:31	73	0:43:41	46	男子40-44歳	13	40	
94	7128	ｶﾜﾊﾞﾀ ﾂﾄﾑ	50	男	3:02:48	0:42:10	139	0:09:13	59	1:16:36	125	2:07:59	84	0:05:24	428	0:49:25	126	男子50-54歳	10	50	
95	6045	ﾀﾃﾉ ﾄﾓﾔ	33	男	3:02:55	0:41:52	134	0:12:25	236	1:23:46	286	2:18:03	205	0:03:06	158	0:41:46	28	男子30-34歳	9	33	
96	7109	ｽｷﾞﾓﾄ ﾀｶﾋｺ	49	男	3:02:55	0:45:09	200	0:11:59	209	1:14:16	82	2:11:24	121	0:02:23	54	0:49:08	121	男子45-49歳	16	49	
97	8642	ﾄﾄﾞﾛｷ ｹｲｽｹ	49	男	3:03:16	0:48:08	275	0:08:57	47	1:12:58	64	2:10:03	109	0:02:32	78	0:50:41	153	男子45-49歳	17	49	
98	5039	ｲｸﾞﾁ ﾘｮｳﾀ	43	男	3:03:34	0:34:35	50	0:10:49	130	1:15:46	104	2:01:10	53	0:02:58	137	0:59:26	315	男子40-44歳	14	43	
99	6003	ﾊﾔｼ ｼﾝ	31	男	3:03:34	0:36:25	68	0:11:28	170	1:23:31	277	2:11:24	122	0:02:42	95	0:49:28	128	男子30-34歳	10	31	
100	7045	ﾎﾀﾃ ﾖｼﾋﾄ	46	男	3:03:35	0:44:58	193	0:12:07	217	1:10:30	41	2:07:35	83	0:02:38	86	0:53:22	206	男子45-49歳	18	46	
101	5103	ｵｶﾞﾀ ﾀｸﾔ	29	男	3:03:53	0:32:22	38	0:13:11	295	1:28:19	368	2:13:52	148	0:03:06	158	0:46:55	87	男子25-29歳	9	29	
102	8606	ﾄｳ ﾖｳｹﾂ	25	男	3:04:06	0:55:41	439	0:10:15	101	1:13:21	70	2:19:17	218	0:02:03	27	0:42:46	36	男子25-29歳	10	25	
103	5162	ｳｴﾉ ﾕｳｷ	26	男	3:04:10	0:45:24	205	0:09:24	65	1:14:08	79	2:08:56	92	0:03:09	171	0:52:05	177	男子25-29歳	11	26	
104	7106	ｲｲﾂﾞｶ ｼﾝﾉｽｹ	49	男	3:04:15	0:45:38	211	0:10:23	107	1:21:08	217	2:17:09	188	0:03:36	254	0:43:30	44	男子45-49歳	19	49	
105	7189	ﾜﾀﾅﾍﾞ ｹﾝｲﾁ	53	男	3:04:22	0:53:32	403	0:13:13	296	1:05:20	14	2:12:05	127	0:04:22	358	0:47:55	101	男子50-54歳	11	53	
106	5016	ｵｵｿﾞﾉ ｼｹﾞｷ	58	男	3:04:29	0:37:57	88	0:13:45	327	1:17:53	151	2:09:35	104	0:03:25	220	0:51:29	167	男子55-59歳	5	58	
107	8605	ｶﾅﾔ ｹﾝﾘｮｳ	45	男	3:04:33	0:47:48	264	0:09:13	59	1:15:35	100	2:12:36	133	0:02:32	78	0:49:25	126	男子45-49歳	20	45	
108	5101	ｽﾐﾉ ﾐｷﾅﾘ	29	男	3:05:10	0:32:16	36	0:11:33	176	1:21:18	221	2:05:07	75	0:03:39	257	0:56:24	268	男子25-29歳	12	29	
109	7139	ﾀｶｷﾞ ｱﾂﾔ	50	男	3:05:12	0:45:03	194	0:11:33	176	1:15:10	92	2:11:46	124	0:03:44	276	0:49:42	130	男子50-54歳	12	50	
110	5048	ﾌﾅｷ ﾐﾂﾙ	55	男	3:05:12	0:35:46	63	0:12:01	211	1:23:12	268	2:10:59	119	0:03:25	220	0:50:48	156	男子55-59歳	6	55	
111	5145	ｱﾝﾄﾞｳ ｼﾝ	49	男	3:05:21	0:41:41	131	0:09:49	80	1:17:18	140	2:08:48	91	0:04:15	346	0:52:18	183	男子45-49歳	21	49	
112	5159	ｵﾘﾊﾗ ｼﾞｭﾝｵ	19	男	3:05:31	0:40:33	120	0:09:05	52	1:20:54	209	2:10:32	117	0:02:32	78	0:52:27	184	男子24歳以下	27	19	
113	5130	ﾊﾅﾊﾀ ﾕｳﾔ	27	男	3:05:39	0:31:18	33	0:13:49	331	1:19:04	173	2:04:11	67	0:02:18	51	0:59:10	308	男子25-29歳	13	27	
114	5076	ｸﾐﾀ ﾄﾓﾋﾛ	26	男	3:05:43	0:28:04	15	0:12:23	233	1:24:30	303	2:04:57	73	0:02:51	116	0:57:55	292	男子25-29歳	14	26	
115	7192	ｸﾗﾓﾄ ﾖｼﾌﾐ	53	男	3:05:52	0:33:28	44	0:15:34	416	1:14:34	86	2:03:36	64	0:03:43	269	0:58:33	298	男子50-54歳	13	53	
116	6090	ｵｶﾞﾜ ｱﾗﾄ	36	男	3:06:20	0:44:24	181	0:10:26	110	1:19:19	179	2:14:09	152	0:02:10	37	0:50:01	136	男子35-39歳	11	36	
117	8045	ｵｵﾂｶ ｼﾝｼﾞ	57	男	3:06:24	0:38:45	106	0:11:20	164	1:17:57	154	2:08:02	86	0:03:18	195	0:55:04	241	男子55-59歳	7	57	
118	7105	ｻｶｷ ﾋﾛﾋｻ	49	男	3:06:32	0:47:35	260	0:10:10	97	1:17:47	149	2:15:32	168	0:04:06	331	0:46:54	86	男子45-49歳	22	49	
119	6026	ﾌｼﾞﾓﾄ ｹｲ	32	男	3:06:50	0:41:32	129	0:10:39	119	1:21:37	230	2:13:48	147	0:02:13	42	0:50:49	157	男子30-34歳	11	32	
120	7088	ﾊﾞﾊﾞ ﾀﾞｲｽｹ	48	男	3:06:57	0:37:03	80	0:13:05	283	1:27:25	357	2:17:33	198	0:02:40	91	0:46:44	81	男子45-49歳		48	
121	8023	ﾏﾂﾓﾄ ﾖｼﾌﾐ	56	男	3:06:59	0:40:14	119	0:12:47	270	1:19:42	191	2:12:43	134	0:03:49	291	0:50:27	150	男子55-59歳	8	56	
122	6130	ｼﾓｱｻ ﾕｳﾀﾞｲ	39	男	3:07:02	0:49:35	314	0:11:31	173	1:14:40	89	2:15:46	173	0:02:46	103	0:48:30	110	男子35-39歳	12	39	
123	5079	ﾂﾎﾞﾀ ﾘｮｳ	27	男	3:07:09	0:47:29	257	0:09:11	57	1:19:04	173	2:15:44	172	0:03:08	167	0:48:17	107	男子25-29歳	15	27	
124	6055	ﾓﾘ ﾔｽﾉﾘ	34	男	3:07:27	0:44:57	192	0:10:36	116	1:18:58	168	2:14:31	158	0:02:30	72	0:50:26	149	男子30-34歳	12	34	
125	8635	ﾐﾔｻﾞﾜ ｼｮｳﾀ	41	男	3:07:30	0:49:40	315	0:12:27	238	1:11:21	47	2:13:28	144	0:03:57	304	0:50:05	139	男子40-44歳	15	41	
126	8015	ｸｻｶ ﾔｽﾅﾘ	54	男	3:07:34	0:35:13	55	0:10:10	97	1:30:17	403	2:15:40	171	0:03:45	279	0:48:09	105	男子50-54歳	14	54	
127	6001	ｽｷﾞｻｶ ｿｳｽｹ	31	男	3:07:39	0:36:49	79	0:13:56	336	1:24:42	310	2:15:27	167	0:02:08	34	0:50:04	137	男子30-34歳	13	31	
128	5108	ﾆｼﾀﾞ ｲｸﾋﾛ	37	男	3:07:55	0:49:43	317	0:09:58	84	1:25:43	331	2:25:24	295	0:01:45	13	0:40:46	19	男子35-39歳	13	37	
129	7148	ｳｴﾀﾞ ﾓﾄﾊﾙ	51	男	3:07:56	0:38:18	96	0:11:10	152	1:23:05	264	2:12:33	132	0:01:55	23	0:53:28	210	男子50-54歳	15	51	
130	6041	ｱｻﾀﾞ ｱｷﾗ	33	男	3:08:11	0:43:38	161	0:12:37	256	1:20:43	201	2:16:58	186	0:02:56	131	0:48:17	107	男子30-34歳	14	33	
131	6088	ﾉｻﾞｶ ﾄﾓﾋﾛ	36	男	3:08:11	0:48:27	289	0:12:31	243	1:16:29	123	2:17:27	197	0:03:26	224	0:47:18	91	男子35-39歳	14	36	
132	6037	ｶﾐﾋﾗ ﾘﾝﾀﾛｳ	33	男	3:08:27	0:44:03	173	0:11:35	182	1:18:58	168	2:14:36	159	0:03:30	234	0:50:21	147	男子30-34歳	15	33	
133	5166	ｼﾅﾀﾞ ﾋﾛﾄ	21	男	3:08:39	0:45:05	197	0:09:58	84	1:18:59	170	2:14:02	150	0:02:55	129	0:51:42	172	男子24歳以下	28	21	
134	7005	ﾐﾔｼﾞﾏ ﾕｳｼﾞ	44	男	3:08:41	0:48:41	296	0:12:34	250	1:15:02	91	2:16:17	180	0:04:01	313	0:48:23	109	男子40-44歳	16	44	
135	7052	ﾀｹﾊﾗ ﾄﾓﾀｹ	47	男	3:08:48	0:38:28	100	0:10:55	137	1:19:34	185	2:08:57	93	0:03:54	299	0:55:57	256	男子45-49歳	24	47	
136	8035	ﾐﾂﾔﾏ ﾋｻﾖｼ	57	男	3:08:49	0:47:05	248	0:09:22	64	1:15:47	107	2:12:14	129	0:02:24	56	0:54:11	229	男子55-59歳	9	57	
137	8087	ﾊｼﾓﾄ ﾖｼｷ	63	男	3:08:58	0:43:17	154	0:12:19	226	1:17:31	144	2:13:07	141	0:03:24	214	0:52:27	184	男子60-64歳	1	63	
138	6165	ｷﾀ ﾋﾃﾞｷ	41	男	3:09:02	0:35:30	62	0:11:03	147	1:23:52	287	2:10:25	116	0:02:42	95	0:55:55	252	男子40-44歳	17	41	
139	5054	ｵｶｼﾞﾏ ﾀｸﾔ	30	男	3:09:06	0:36:23	66	0:10:48	127	1:23:13	269	2:10:24	115	0:02:40	91	0:56:02	259	男子30-34歳	16	30	
140	7137	ｵﾉｴ ﾅｵｼ	50	男	3:09:08	0:59:40	488	0:12:43	265	1:07:35	23	2:19:58	225	0:03:17	194	0:45:53	75	男子50-54歳	16	50	
141	6006	ﾌｼﾞｲ ﾀﾞｲﾁ	31	男	3:09:21	0:44:37	186	0:09:43	78	1:20:41	200	2:15:01	163	0:03:06	158	0:51:14	162	男子30-34歳	17	31	
142	6193	ﾐﾅｸﾞﾁ ﾅｵﾔ	43	男	3:09:25	0:43:52	168	0:11:16	160	1:22:17	248	2:17:25	195	0:03:06	158	0:48:54	115	男子40-44歳	18	43	
143	5106	ｷﾑﾗ ﾀﾞｲｽｹ	29	男	3:09:30	0:57:12	457	0:10:42	120	1:13:56	77	2:21:50	250	0:03:42	267	0:43:58	49	男子25-29歳	16	29	
144	6174	ﾊﾞﾊﾞ ﾀｶｼ	41	男	3:09:31	0:35:30	61	0:13:37	320	1:26:42	347	2:15:49	174	0:03:33	245	0:50:09	141	男子40-44歳	19	41	
145	7065	ﾀｶﾀﾞ ﾄﾓﾉﾘ	47	男	3:09:35	0:57:10	456	0:13:05	283	1:15:46	104	2:26:01	304	0:03:57	304	0:39:37	16	男子45-49歳	25	47	
146	8644	ﾐｽﾞｸﾞﾁ ﾕｳｽｹ	40	男	3:09:42	0:48:43	297	0:09:35	73	1:16:12	115	2:14:30	157	0:02:12	41	0:53:00	192	男子40-44歳	20	40	
147	7169	ｷﾘｳ ｼｭｳｼﾞ	52	男	3:09:44	0:48:30	290	0:11:10	152	1:21:15	219	2:20:55	242	0:03:18	195	0:45:31	71	男子50-54歳	17	52	
148	5193	ｸﾎﾞ ﾀｶﾋﾛ	30	男	3:09:48	0:48:44	298	0:09:46	79	1:19:27	181	2:17:57	204	0:03:40	262	0:48:11	106	男子30-34歳	18	30	
149	7023	ｶﾗｻﾜ ｼｭﾝｲﾁ	45	男	3:09:53	0:44:43	188	0:13:21	305	1:19:01	172	2:17:05	187	0:03:39	257	0:49:09	122	男子45-49歳	26	45	
150	8068	ﾀｶﾊｼ ｲｯﾄｸ	59	男	3:09:55	0:40:47	125	0:11:33	176	1:16:19	119	2:08:39	90	0:03:21	204	0:57:55	292	男子55-59歳	10	59	
151	5069	ﾀｼﾛ ｱｯﾊﾞｰｽ	23	男	3:09:58	0:39:47	117	0:10:50	132	1:12:48	60	2:03:25	63	0:02:25	59	1:04:08	387	男子24歳以下	29	23	
152	5196	ﾊﾏﾓﾄ ﾀｶﾔ	31	男	3:10:01	0:53:29	402	0:10:29	112	1:19:09	176	2:23:07	266	0:02:24	56	0:44:30	56	男子30-34歳	19	31	
153	8047	Stein Mario	57	男	3:10:04	0:41:02	127	0:12:31	243	1:16:10	114	2:09:43	105	0:03:08	167	0:57:13	282	男子55-59歳	11	57	
154	7078	ﾔﾏﾀﾞ ｺｳｲﾁﾛｳ	48	男	3:10:06	0:44:15	179	0:11:42	192	1:18:24	160	2:14:21	155	0:03:03	147	0:52:42	187	男子45-49歳	27	48	
155	6061	ｱｷﾂﾞｷ ﾀｶﾋﾛ	34	男	3:10:08	0:48:26	286	0:12:25	236	1:11:18	46	2:12:09	128	0:03:07	162	0:54:52	236	男子30-34歳	20	34	
156	8639	ｲﾜﾀ ﾔｽｼ	60	男	3:10:30	0:51:13	351	0:10:19	103	1:12:40	55	2:14:12	153	0:03:01	143	0:53:17	203	男子60-64歳	2	60	
157	7157	ｼﾅﾀﾞ ﾀｶﾋﾛ	51	男	3:10:42	0:38:14	95	0:11:02	145	1:28:39	372	2:17:55	203	0:02:42	95	0:50:05	139	男子50-54歳	18	51	
158	6087	ﾐｶﾐ ﾕｳﾔ	36	男	3:10:54	0:47:45	263	0:12:36	253	1:17:53	151	2:18:14	208	0:02:57	134	0:49:43	131	男子35-39歳	15	36	
159	6038	ｵｵｿﾈ ﾄﾓｷ	33	男	3:11:45	0:53:28	400	0:10:08	93	1:17:37	146	2:21:13	245	0:03:29	230	0:47:03	89	男子30-34歳	21	33	
160	7092	ﾐﾅﾐ ｱｷﾕｷ	49	男	3:11:45	0:38:42	105	0:11:36	183	1:19:39	188	2:09:57	108	0:02:48	109	0:59:00	304	男子45-49歳		49	
161	6143	ﾏﾙｲ ﾏｲｸ	39	男	3:11:49	0:43:21	156	0:11:24	168	1:24:06	291	2:18:51	210	0:02:46	103	0:50:12	143	男子35-39歳	16	39	
162	5095	ﾂﾀﾞ ｲｸﾐ	28	男	3:12:00	0:50:27	332	0:10:21	105	1:21:23	222	2:22:11	251	0:03:29	230	0:46:20	78	男子25-29歳	17	28	
163	5136	ｳｫﾚﾝ ｴﾘｽ	27	男	3:12:05	0:49:00	307	0:10:46	125	1:17:50	150	2:17:36	199	0:03:03	147	0:51:26	166	男子25-29歳	18	27	
164	8005	ｽｽﾞﾓﾄ ﾔｽﾀﾐ	54	男	3:12:06	0:44:44	189	0:12:51	271	1:16:07	113	2:13:42	145	0:04:16	349	0:54:08	227	男子50-54歳	19	54	
165	7053	ｺﾊﾞﾔｼ ﾀｶﾋﾛ	47	男	3:12:07	0:44:24	182	0:14:42	376	1:15:24	96	2:14:30	156	0:04:01	313	0:53:36	216	男子45-49歳	29	47	
166	6121	ﾌﾘﾊﾀ ｶｽﾞﾐﾁ	38	男	3:12:19	0:34:50	52	0:13:04	281	1:20:07	195	2:08:01	85	0:03:27	226	1:00:51	329	男子35-39歳	17	38	
167	5192	ﾊﾏﾀﾞ ｶﾂﾔ	30	男	3:12:21	0:36:27	69	0:13:09	290	1:26:15	339	2:15:51	176	0:02:25	59	0:54:05	224	男子30-34歳	22	30	
168	5084	ｲｼﾀﾞ ｹﾝｽｹ	27	男	3:12:25	0:50:53	342	0:09:12	58	1:17:45	148	2:17:50	202	0:03:13	181	0:51:22	165	男子25-29歳	19	27	
169	8623	ｼﾗｷ ｱｷﾐﾂ	45	男	3:12:30	0:36:45	78	0:12:23	233	1:21:02	213	2:10:10	111	0:04:01	313	0:58:19	295	男子45-49歳	30	45	
170	6024	ｶﾒﾔﾏ ﾅｵﾄ	32	男	3:12:39	0:52:16	378	0:09:58	84	1:18:46	165	2:21:00	243	0:02:27	65	0:49:12	124	男子30-34歳	23	32	
171	5071	ｲｶﾜ ｼﾝﾀﾛｳ	24	男	3:12:48	0:34:45	51	0:13:30	314	1:26:55	349	2:15:10	164	0:03:31	236	0:54:07	226	男子24歳以下	30	24	
172	7171	ｲﾀﾞ ｼｹﾞﾄ	52	男	3:12:57	0:35:23	58	0:14:16	358	1:15:14	94	2:04:53	70	0:04:25	361	1:03:39	382	男子50-54歳	20	52	
173	5038	ｲｼﾀﾞ ｹﾝﾄ	34	男	3:13:03	0:45:04	196	0:11:47	195	1:30:58	410	2:27:49	328	0:03:39	257	0:41:35	26	男子30-34歳	24	34	
174	6029	ﾅｶﾉ ﾋﾄｼ	32	男	3:13:11	0:56:52	452	0:11:53	202	1:16:14	117	2:24:59	289	0:04:03	322	0:44:09	53	男子30-34歳	25	32	
175	7043	ﾆｼﾑﾗ ﾕｳｿﾞｳ	46	男	3:13:16	0:41:56	136	0:12:05	216	1:18:52	167	2:12:53	136	0:03:47	285	0:56:36	274	男子45-49歳	31	46	
176	8079	ﾅｶﾀ ﾄｸﾐ	61	男	3:13:23	0:36:44	77	0:10:42	120	1:18:33	163	2:05:59	78	0:03:16	192	1:04:08	387	男子60-64歳	3	61	
177	5199	ﾖｺﾜﾀﾘ ﾀﾞｲｷ	31	男	3:13:25	0:48:06	273	0:11:48	197	1:22:25	252	2:22:19	254	0:03:12	177	0:47:54	100	男子30-34歳	26	31	
178	6073	ﾖｼｻﾞﾜ ｹﾝﾀ	35	男	3:13:26	0:50:46	338	0:10:11	99	1:15:52	109	2:16:49	185	0:03:34	249	0:53:03	194	男子35-39歳	18	35	
179	6158	ﾌｼﾞｻｷ ﾋﾛｱｷ	40	男	3:13:39	0:41:34	130	0:12:46	268	1:22:54	262	2:17:14	192	0:03:15	190	0:53:10	197	男子40-44歳	21	40	
180	8002	ﾌｼﾞﾓﾄ ﾖｼｷ	53	男	3:14:12	0:47:52	265	0:11:01	143	1:21:39	231	2:20:32	235	0:04:51	403	0:48:49	114	男子50-54歳	21	53	
181	6023	ｷﾀﾑﾗ ｺｳﾀﾛｳ	32	男	3:14:26	0:35:17	57	0:10:31	115	1:25:19	322	2:11:07	120	0:03:43	269	0:59:36	319	男子30-34歳	27	32	
182	7090	ﾔﾏｻﾞｷ ﾐﾂﾋﾛ	49	男	3:14:45	0:46:23	226	0:12:53	275	1:16:06	112	2:15:22	166	0:03:21	204	0:56:02	259	男子45-49歳	32	49	
183	6068	ﾓﾘ ｲｸﾛｳ	34	男	3:14:46	0:43:49	166	0:11:37	187	1:24:33	304	2:19:59	226	0:02:46	103	0:52:01	176	男子30-34歳	28	34	
184	7001	ｲｻ ﾏｻﾀｶ	43	男	3:14:48	0:37:59	89	0:10:22	106	1:21:04	215	2:09:25	99	0:03:04	151	1:02:19	359	男子40-44歳	22	43	
185	6116	ｵｵﾀｹ ﾋﾛﾄ	37	男	3:14:56	0:52:32	384	0:11:22	167	1:23:42	283	2:27:36	325	0:04:29	371	0:42:51	38	男子35-39歳	19	37	
186	7087	ﾀﾅｶ ﾋﾛｷ	48	男	3:15:07	0:40:37	121	0:13:45	327	1:25:56	333	2:20:18	231	0:04:16	349	0:50:33	151	男子45-49歳	33	48	
187	5092	ｼｹﾞﾓﾄ ﾕｳﾀ	28	男	3:15:14	0:38:40	103	0:16:11	433	1:23:21	274	2:18:12	207	0:04:52	405	0:52:10	179	男子25-29歳	20	28	
188	8085	ｷﾑﾗ ﾀｶｵ	62	男	3:15:17	0:44:02	172	0:11:53	202	1:22:12	244	2:18:07	206	0:04:03	322	0:53:07	196	男子60-64歳	4	62	
189	6047	ｻｶｲ ﾕｳｲﾁﾛｳ	33	男	3:15:21	0:45:12	202	0:12:08	219	1:18:31	162	2:15:51	175	0:04:31	373	0:54:59	239	男子30-34歳	29	33	
190	8100	ﾀﾞｲﾄｳ ﾀﾓﾂ	65	男	3:15:28	0:46:07	223	0:10:45	123	1:20:47	204	2:17:39	200	0:04:04	325	0:53:45	219	男子65歳以上	1	65	
191	6180	ﾋﾗﾉ ﾀｶﾋﾛ	42	男	3:15:30	0:48:38	294	0:12:36	253	1:24:15	298	2:25:29	297	0:02:22	52	0:47:39	95	男子40-44歳	23	42	
192	5055	ﾐﾔﾉ ﾀｹﾋﾛ	26	男	3:15:42	0:42:11	140	0:09:26	66	1:17:40	147	2:09:17	96	0:03:24	214	1:03:01	373	男子25-29歳	21	26	
193	7101	ﾊｾｶﾞﾜ ｱﾂｼ	49	男	3:15:48	0:47:41	261	0:11:51	201	1:20:48	205	2:20:20	233	0:04:43	397	0:50:45	154	男子45-49歳	34	49	
194	6014	ｸﾜﾊﾞﾗ ｱｷﾕｷ	31	男	3:15:55	0:43:35	160	0:11:20	164	1:20:02	194	2:14:57	162	0:03:22	208	0:57:36	286	男子30-34歳	30	31	
195	5200	ｵｵｼﾏ ﾀｶﾋﾛ	31	男	3:16:03	0:48:46	300	0:11:20	164	1:20:43	201	2:20:49	240	0:04:51	403	0:50:23	148	男子30-34歳	31	31	
196	5129	ﾌｸﾀﾞ ｹﾞﾝ	27	男	3:16:07	0:45:06	198	0:11:49	199	1:15:59	111	2:12:54	137	0:03:01	143	1:00:12	322	男子25-29歳	22	27	
197	6083	ｵｻ ﾕｳｷ	35	男	3:16:10	0:38:13	94	0:11:38	188	1:26:11	337	2:16:02	178	0:03:33	245	0:56:35	273	男子35-39歳	20	35	
198	7019	ﾄﾀﾞ ﾖｳｽｹ	44	男	3:16:14	0:50:59	344	0:11:40	191	1:25:13	319	2:27:52	330	0:02:56	131	0:45:26	69	男子40-44歳	24	44	
199	8028	ﾅｸﾗ ﾖｼｵ	56	男	3:16:16	0:33:37	45	0:12:19	226	1:20:43	201	2:06:39	81	0:03:47	285	1:05:50	409	男子55-59歳	12	56	
200	8624	ﾐﾔｳﾁ ﾘｮｳﾍｲ	40	男	3:16:21	0:44:21	180	0:11:36	183	1:25:52	332	2:21:49	249	0:02:45	101	0:51:47	173	男子40-44歳		40	
201	8040	ﾊﾗﾀﾞ ﾏｻｵ	57	男	3:16:26	0:37:45	85	0:12:59	279	1:18:47	166	2:09:31	103	0:03:31	236	1:03:24	381	男子55-59歳	13	57	
202	6043	ﾐﾔｷﾞ ﾄｵﾙ	33	男	3:16:44	0:51:13	352	0:11:55	204	1:15:56	110	2:19:04	213	0:04:11	339	0:53:29	211	男子30-34歳	32	33	
203	7021	ﾋﾛｾ ﾀﾂｵ	44	男	3:16:49	0:48:09	278	0:10:45	123	1:33:10	434	2:32:04	367	0:02:51	116	0:41:54	30	男子40-44歳	26	44	
204	6072	ｻｶｷ ﾕｳｷ	35	男	3:17:13	0:43:16	153	0:11:16	160	1:15:37	103	2:10:09	110	0:03:49	291	1:03:15	378	男子35-39歳	21	35	
205	5133	ﾆﾉﾐﾔ ｹﾝﾄ	27	男	3:17:15	0:57:23	461	0:10:13	100	1:17:34	145	2:25:10	290	0:02:47	106	0:49:18	125	男子25-29歳	23	27	
206	5177	ﾊｾｶﾞﾜ ﾋﾛｶｽﾞ	30	男	3:17:15	0:42:28	147	0:14:35	369	1:22:11	243	2:19:14	216	0:03:24	214	0:54:37	231	男子30-34歳	33	30	
207	8649	ｶﾅﾏﾙ ﾕｳｲﾁ	37	男	3:17:26	0:47:29	256	0:12:07	217	1:13:28	72	2:13:04	140	0:03:09	171	1:01:13	336	男子35-39歳	22	37	
208	6125	ｼｵﾔ ｼﾞｭﾝｲﾁ	38	男	3:17:38	0:42:44	149	0:13:08	288	1:21:49	235	2:17:41	201	0:03:31	236	0:56:26	271	男子35-39歳	23	38	
