総合順位	No.	氏名	年齢	性別	居住地	総合記録	バイクラップ	B順	ランラップ	R順	男子順位	女子順位	区分	区分順位
18	1509	チーム海運	2:53:34	仁平 涼介	0:35:27	25	0:02:35	小野 裕克	1:24:08	17	鈴木 拓	0:51:24	20		
19	1520	NATSUME	2:54:16	佐々木 天太	0:24:51	6	0:02:10	夏目 和宏	1:35:12	25	夏目 健太郎	0:52:03	21		
20	1513	Ascot Sales	2:57:26	平林 大河	0:31:04	16	0:02:13	西澤 拓也	1:29:50	22	間仲 俊也	0:54:19	22		
21	1517	HANA SURGERY	2:58:07	原澤 慶太郎	0:30:06	14	0:01:55	小林 之維	1:38:02	26	吉村 英敏	0:48:04	14		
22	1507	チームあそしあ	3:01:19	大橋 弘幸	0:28:14	9	0:02:30	酒田 篤志	1:26:30	19	山田 郁弥	1:04:05	32		
23	1516	とがしでんき	3:02:32	富樫 貴博	0:40:45	30	0:02:18	富樫 蓮太	1:29:34	21	富樫 貴博	0:49:55	17		
24	1511	Ascot Executive	3:08:22	中林 毅	0:35:55	27	0:02:41	三橋 悟郎	1:28:27	20	出来田 博之	1:01:19	30		
25	1518	TeamArchi-A	3:11:36	結野 啓	0:43:22	32	0:03:42	若水 健大	1:33:59	24	内薗 雄太	0:50:33	19		
26	1502	Clique d'As_A	3:14:00	種村 友平	0:39:10	29	0:02:36	河本 政之	1:44:40	30	山崎 篤志	0:47:34	11		
27	1527	Blue Corsairs	3:14:45	内山 慎太郎	0:23:12	5	0:02:39	白木 翔	2:01:06	33	池上 肇	0:47:48	13		
28	1514	呑兵衛‘s	3:16:15	大岩 洋	0:33:32	21	0:02:39	佐藤 至	1:38:05	27	江森 美香	1:01:59	31	混合	7
29	1530	チーム大門	3:17:42	鶴岡 敏彦	0:31:44	19	0:02:19	舩浪 健太	1:31:11	23	壽田 雄二	1:12:28	33		
30	1526	アクアかずさスポーツクラブＭSＴ	3:18:51	鳥澤 美和子	0:37:43	28	0:03:03	北原 靖和	1:40:19	29	榎本 崇志	0:57:46	29	混合	8
31	1501	まにまに	3:28:55	山本 寛大	0:31:08	18	0:02:05	柴田 幸一朗	1:59:53	32	厚川 博紀	0:55:49	25		
32	1525	TO THE Very End	3:35:42	荒木 秀樹	0:40:47	31	0:05:50	荒木 秀樹	1:51:29	31	丸山 佳孝	0:57:36	28		
33	1534	Commanders	3:37:48	今泉 雅博	0:57:22	33	0:04:16	猪森 聡彦	1:40:19	28	廣瀬 敏彦	0:55:51	26		
DNS	1505	TIY		谷 將志				石田 貴裕			山田 裕康				
DNS	1506	チームLM		馬場 聡一郎				遠山 秀夫			野崎 浩二				
