Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
235	Christina Case	F	F40-44	1	5:00:00	0:28:40	2:44:54	1:40:53
236	Ryan Anderson	M	M18-24	14	5:00:02	0:34:26	2:41:31	1:36:36
237	William Fries	M	M30-34	30	5:00:08	0:27:58	2:38:04	1:48:29
238	Nick Goldston	M	M35-39	22	5:00:09	0:33:20	2:36:35	1:40:44
239	Randall Lomax	M	M50-54	10	5:00:20	0:34:21	2:32:44	1:47:15
240	Alex Balt	M	M18-24	15	5:00:25	0:29:27	2:35:21	1:50:41
241	John Schatzlein	M	M35-39	23	5:00:35	0:30:28	2:41:56	1:41:29
242	Marcus Groll	M	M30-34	31	5:00:35	0:33:43	2:39:47	1:40:41
243	Tedd Girouard	M	M50-54	11	5:00:43	0:35:53	2:37:29	1:40:59
244	Todd Kosenski	M	M55-59	5	5:00:45	0:34:02	2:35:30	1:45:30
245	Collin Mcmillan	M	M25-29	38	5:00:53	0:34:52	2:36:16	1:44:18
246	Ben Hamilton	M	M18-24	16	5:01:01	0:28:47	2:22:37	1:59:07
247	Jonathan Pesansky	M	M50-54	12	5:01:04	0:28:21	2:40:22	1:42:35
248	Caleb Dickson	M	M18-24	17	5:01:07	0:30:39	2:40:47	1:43:17
249	Molly Lesser	F	F35-39	3	5:01:15	0:31:37	2:45:02	1:39:57
250	Mitch Kauffman	M	M35-39	24	5:01:18	0:35:18	2:33:36	1:46:22
251	Jesse Nolen	M	M45-49	15	5:01:44	0:33:21	2:36:41	1:44:27
252	Jason Tozzi	M	M45-49	16	5:01:45	0:34:56	2:45:12	1:34:36
253	Seth Simpson	M	M30-34	32	5:01:46	0:37:33	2:30:27	1:47:37
254	Michael Barnhart	M	M35-39	25	5:01:52	0:36:09	2:40:45	1:37:51
255	Anthony Xue	M	M25-29	39	5:02:06	0:32:37	2:39:23	1:42:45
256	Phillip Croker	M	M30-34	33	5:02:10	0:32:25	2:39:43	1:43:16
257	Casey Adams	F	F35-39	4	5:02:19	0:32:43	2:44:41	1:39:27
258	Christopher Jones	M	M40-44	22	5:02:27	0:37:50	2:24:47	1:50:32
259	Jon Nicanor	M	M45-49	17	5:02:39	0:35:31	2:38:13	1:41:40
260	Dave Sheanin	M	M55-59	6	5:02:45	0:30:00	2:41:22	1:44:31
