総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
98	3516	藤井 和志	37	男	愛知	2:39:32	0:33:28	139	0:02:24	1:13:06	85	0:50:34	100	84		35-39男⼦	12		
99	3527	吉⽥ 悠太	39	男	岐⾩	2:39:37	0:30:27	94	0:01:33	1:19:06	142	0:48:31	77	85		35-39男⼦	13	岐⾩県男⼦	7
100	6014	⾼瀬 喜久	63	男	愛知	2:39:44	0:36:07	170	0:01:48	1:11:53	74	0:49:56	91	86		60-64男⼦	8		
101	3510	⻄⼭ 拓弥	36	男	愛知	2:40:00	0:33:10	135	0:01:53	1:15:20	105	0:49:37	89	87		35-39男⼦	14		
102	5516	松⽥ 庄平	58	男	愛知	2:40:08	0:33:07	134	0:02:29	1:15:27	109	0:49:05	85	88		55-59男⼦	9		
103	3006	松本 康弘	30	男	愛知	2:40:26	0:25:43	22	0:02:14	1:17:09	126	0:55:20	145	89		30-34男⼦	8		
104	5031	⾜⽴ 健児	54	男	静岡	2:40:37	0:26:19	33	0:01:15	1:15:21	107	0:57:42	167	90		50-54男⼦	15		
105	5007	太⽥ 宗男	51	男	滋賀	2:41:05	0:26:00	29	0:02:55	1:17:52	134	0:54:18	131	91		50-54男⼦	16		
106	4008	植尾 ⼤輔	42	男	愛知	2:41:53	0:31:57	115	0:01:47	1:16:17	120	0:51:52	111	92		40-44男⼦	10		
107	5037	杉⼭ 孝	54	男	愛知	2:42:12	0:36:20	174	0:01:43	1:15:14	103	0:48:55	83	93		50-54男⼦	17		
108	453	⼭下 宏美	45	⼥	三重	2:42:19	0:33:30	140	0:01:13	1:15:08	99	0:52:28	120		15	45-49⼥⼦	4		
109	4517	⽥上 英治	47	男	埼⽟	2:42:56	0:32:34	124	0:01:29	1:13:22	86	0:55:31	149	94		45-49男⼦	11		
110	4015	⼤⼭ 陽⼀郎	43	男	三重	2:43:18	0:34:36	150	0:02:59	1:15:21	106	0:50:22	96	95		40-44男⼦	11		
111	4009	⻑野 庄貴	42	男	沖縄	2:43:29	0:29:52	87	0:03:30	1:19:56	153	0:50:11	94	96		40-44男⼦	12		
112	3520	⾳泉 圭	38	男	岐⾩	2:43:29	0:25:58	27	0:03:18	1:20:13	154	0:54:00	130	97		35-39男⼦	15	岐⾩県男⼦	8
113	5021	⾼橋 栄司	52	男	滋賀	2:43:36	0:36:50	181	0:02:04	1:12:27	79	0:52:15	117	98		50-54男⼦	18		
114	6504	平岡 司郎	66	男	岐⾩	2:43:39	0:30:01	89	0:02:04	1:17:43	133	0:53:51	128	99		65-69男⼦	1	岐⾩県男⼦	9
115	7002	鈴⽊ 教之	71	男	愛知	2:43:47	0:33:47	143	0:03:09	1:14:32	95	0:52:19	119	100		70-74男⼦	1		
