順位	ナンバー	氏名	年齢	最終タイム	スイム記録	バイク記録	ラン記録
4	344	大嶋 健太	27	2:35:00	0:26:16	1:15:43	0:53:01
5	355	原 光洋	28	2:35:40	0:27:33	1:17:13	0:50:54
6	377	西尾 昇悟	20	2:35:46	0:29:05	1:10:51	0:55:50
7	396	小橋 駿輝	28	2:39:54	0:32:11	1:15:14	0:52:29
8	434	赤坂 健太	29	2:41:00	0:35:19	1:18:43	0:46:58
9	384	上妻 卓矢	29	2:42:30	0:34:18	1:12:09	0:56:03
10	397	吉岡 将太郎	27	2:42:42	0:35:08	1:08:54	0:58:40
11	374	矢部 昂文	27	2:43:07	0:37:13	1:14:28	0:51:26
12	430	元平 伊作	25	2:47:46	0:39:49	1:18:52	0:49:05
13	323	大西 哲平	22	2:49:40	0:36:46	1:22:41	0:50:13
14	398	加藤 亮太	20	2:50:44	0:33:09	1:18:50	0:58:45
15	369	桝井 亮甫	28	2:55:01	0:28:09	1:14:00	1:12:52
16	361	細川 大介	27	2:55:10	0:34:07	1:18:59	1:02:04
17	429	垂井 祐貴	26	2:59:04	0:43:48	1:20:42	0:54:34
18	348	関戸 健太	22	3:09:58	0:36:47	1:29:25	1:03:46
19	330	田中 千暁	25	3:14:46	0:46:47	1:23:02	1:04:57
20	440	大島 司	29	3:31:08	0:43:09	1:31:14	1:16:45
1	368	松井 裕樹	33	2:16:57	0:24:59	1:07:49	0:44:09
2	305	田中 秀和	39	2:18:55	0:26:58	1:05:53	0:46:04
3	362	呉 越	39	2:32:34	0:34:17	1:10:53	0:47:24
4	375	八山 雅幸	33	2:34:14	0:32:03	1:15:38	0:46:33
5	338	小路 廣輔	39	2:35:30	0:30:44	1:16:34	0:48:12
6	321	坂元 靖昌	39	2:44:52	0:33:31	1:18:17	0:53:04
7	386	山陰 篤史	38	2:46:10	0:28:16	1:15:20	1:02:34
8	436	橋本 潔	32	2:52:23	0:39:28	1:24:57	0:47:58
9	424	新井 博文	38	2:56:07	0:40:52	1:17:49	0:57:26
10	350	天田 広	30	2:57:16	0:32:55	1:23:26	1:00:55
11	306	乾 靖	39	2:57:43	0:30:23	1:21:55	1:05:25
12	335	乾 哲也	35	2:57:44	0:30:57	1:23:13	1:03:34
13	450	井本 浩史	34	2:57:57	0:38:32	1:23:58	0:55:27
14	309	大関 康太	33	2:58:59	0:37:19	1:19:06	1:02:34
15	425	大高 泰平	31	3:04:16	0:43:50	1:24:42	0:55:44
16	302	今井 一喜	39	3:04:52	0:32:47	1:19:12	1:12:53
17	331	西山 潤	38	3:06:12	0:37:28	1:24:50	1:03:54
18	365	川田 祐志	38	3:08:35	0:52:03	1:17:21	0:59:11
19	454	枡野 禎秀	33	3:09:47	0:39:37	1:25:44	1:04:26
20	405	中塚 篤志	39	3:11:05	0:34:05	1:46:33	0:50:27
21	449	松川 将久	35	3:14:36	1:01:13	1:23:32	0:49:51
22	356	西原 直明	32	3:21:04	0:52:57	1:28:03	1:00:04
23	314	天満 栄太	31	3:23:08	0:42:41	1:27:30	1:12:57
24	324	大島 章	36	3:26:54	0:38:23	1:22:18	1:26:13
25	388	田中 敬次郎	37	3:40:34	0:47:38	1:30:52	1:22:04
1	456	前田 良孝	48	2:15:05	0:28:12	1:05:25	0:41:28
2	320	丸岡 正和	46	2:20:12	0:27:29	1:05:18	0:47:25
3	328	森永 幸希	43	2:22:50	0:28:39	1:11:04	0:43:07
4	420	広本 成志	44	2:24:27	0:28:51	1:13:43	0:41:53
5	400	松下 友吾	49	2:26:30	0:34:37	1:05:59	0:45:54
6	385	中島 一樹	45	2:29:42	0:28:33	1:12:51	0:48:18
7	422	Masaki Kawamura	41	2:33:46	0:32:02	1:13:03	0:48:41
8	407	平川 貴嗣	40	2:37:40	0:33:22	1:07:44	0:56:34
9	439	吉谷 邦宏	49	2:37:54	0:29:54	1:18:52	0:49:08
10	366	西川 智之	45	2:39:09	0:30:16	1:12:40	0:56:13
11	308	川西 太一郎	47	2:39:18	0:38:18	1:14:49	0:46:11
12	406	宮本 直樹	49	2:42:47	0:39:50	1:13:33	0:49:24
13	393	山本 賢也	44	2:43:32	0:36:28	1:14:27	0:52:37
14	334	遠山 剛	43	2:43:45	0:34:00	1:13:47	0:55:58
15	452	北野 信英	49	2:46:38	0:30:35	1:15:30	1:00:33
16	421	石川 尊士	42	2:47:41	0:34:59	1:20:48	0:51:54
17	383	今中 慎	45	2:48:48	0:33:12	1:22:09	0:53:27
18	313	赤松 直也	46	2:49:13	0:37:08	1:14:59	0:57:06
19	443	佐藤 哲夫	48	2:49:26	0:40:35	1:17:19	0:51:32
20	453	杉江 真和	43	2:49:28	0:38:33	1:14:37	0:56:18
21	437	森下 陽介	44	2:50:36	0:26:43	1:22:46	1:01:07
22	326	小川 佳宏	48	2:51:21	0:42:25	1:23:24	0:45:32
23	353	林 健	48	2:53:39	0:38:28	1:20:16	0:54:55
24	423	加藤 慶宣	41	2:53:46	0:41:44	1:18:09	0:53:53
25	325	岡崎 卓次	49	2:54:10	0:37:20	1:23:11	0:53:39
26	390	岡崎 進一	45	2:55:08	0:40:28	1:17:54	0:56:46
27	342	光高 茂樹	46	2:57:04	0:43:12	1:21:32	0:52:20
28	451	田中 和也	47	2:57:52	0:33:22	1:29:03	0:55:27
29	389	高柳 淳一	49	3:00:10	0:31:36	1:26:36	1:01:58
30	382	野田 晋平	49	3:02:30	0:37:35	1:25:26	0:59:29
31	340	穐山 智樹	44	3:05:00	0:30:13	1:26:51	1:07:56
32	394	立木 守幸	42	3:06:42	0:30:42	1:26:46	1:09:14
33	322	生田 博幸	48	3:08:24	0:44:07	1:22:57	1:01:20
34	354	山野 正高	48	3:11:44	0:36:54	1:26:30	1:08:20
35	311	藤井 裕大	49	3:16:11	0:41:53	1:25:10	1:09:08
36	435	雀部 英樹	46	3:21:34	0:46:12	1:50:16	0:45:06
37	444	野中 良祐	40	3:22:00	0:45:51	1:27:30	1:08:39
38	332	鈴 賢一	41	3:28:50	0:38:58	1:37:45	1:12:07
39	310	阿部 正純	42	3:35:09	0:35:22	1:37:17	1:22:30
40	378	住所 和彦	43	3:36:33	0:35:48	1:22:49	1:37:56
1	391	野嵜 親次	52	2:28:06	0:29:07	1:10:42	0:48:17
2	352	稲田 大郎	51	2:37:46	0:30:00	1:16:31	0:51:15
3	318	中西 晋	55	2:38:47	0:34:48	1:14:25	0:49:34
4	343	船岡 洋	50	2:39:10	0:45:17	1:10:29	0:43:24
5	317	大家 秀行	52	2:40:46	0:40:13	1:10:36	0:49:57
6	381	松富 圭介	52	2:47:21	0:34:47	1:19:19	0:53:15
7	307	土井 誠	51	2:47:33	0:28:47	1:26:39	0:52:07
8	445	岡田 浩	56	2:48:03	0:38:52	1:18:37	0:50:34
9	401	藤岡 伸英	51	2:56:44	0:37:22	1:21:54	0:57:28
10	415	堀内 章広	53	2:58:46	0:38:45	1:15:24	1:04:37
11	341	三木 健	53	3:02:31	0:43:51	1:26:39	0:52:01
12	373	井上 圭右	52	3:04:20	0:44:02	1:21:59	0:58:19
13	418	大嶋 豪	50	3:06:23	0:38:09	1:27:32	1:00:42
14	363	瀬間 竜一	51	3:06:47	0:39:32	1:30:13	0:57:02
15	446	小林 誠	52	3:09:08	0:46:07	1:27:26	0:55:35
16	455	上坪 正人	54	3:13:53	0:39:21	1:25:48	1:08:44
17	419	大森 潤一	50	3:14:52	0:35:50	1:24:10	1:14:52
18	432	井関 毅	53	3:17:05	0:40:34	1:29:04	1:07:27
19	336	岡室 克也	50	3:19:39	0:42:06	1:29:32	1:08:01
20	412	宇都宮 博	58	3:25:22	0:40:16	1:31:25	1:13:41
21	416	前島 利昭	53	3:27:35	0:38:20	1:28:16	1:20:59
22	333	長田 耕治	58	3:28:13	0:39:08	1:38:52	1:10:13
23	315	中村 豊	58	3:33:11	0:40:49	1:31:40	1:20:42
24	387	岸田 安弘	58	3:38:36	0:52:15	1:31:05	1:15:16
25	337	前川 博輝	50	3:41:49	0:57:25	1:42:01	1:02:23
26	413	甲斐 昭成	53	4:06:29	0:52:24	1:44:17	1:29:48
1	411	松浦 一志	61	3:10:45	0:42:30	1:17:30	1:10:45
2	303	流王 祥男	73	3:16:50	0:38:42	1:23:46	1:14:22
3	367	田浦 健朗	65	3:24:27	0:42:24	1:34:06	1:07:57
4	370	神門 英昭	60	4:04:31	0:52:53	1:34:27	1:37:11
1	481	松本 明莉	26	3:12:05	0:39:05	1:25:09	1:07:51
1	484	蛯名 茜	36	2:54:15	0:34:46	1:17:30	1:01:59
2	489	立木 亜希子	38	3:10:29	0:29:21	1:27:29	1:13:39
3	488	田中 愛子	37	3:20:19	0:38:06	1:31:25	1:10:48
4	487	住所 ひとみ	37	3:36:34	0:55:54	1:34:36	1:06:04
5	490	橋口 久美子	36	3:56:21	0:44:11	1:34:01	1:38:09
1	482	重成 かおり	45	2:21:58	0:25:56	1:12:33	0:43:29
2	483	日生 麻美	40	2:44:04	0:30:39	1:18:29	0:54:56
3	492	藤田 尚子	47	3:11:09	0:33:21	1:27:39	1:10:09
4	486	飯尾 圭子	49	3:17:17	0:49:54	1:24:33	1:02:50
1	485	嶋田 扶佐惠	61	3:30:13	0:41:59	1:32:20	1:15:54
