総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイク	B順	スプリット	通過	ランラップ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
180	9253	吉川 修	60	男	神奈川	1:44:38	0:21:23	195	0:49:21	134	1:10:44	157	0:33:54	188	161		60代男子	9
181	9048	藤田 諒	32	男	神奈川	1:44:39	0:21:18	192	0:52:48	188	1:14:06	190	0:30:33	148	162		30代男子	48
182	9171	西川 章仁	46	男	神奈川	1:44:50	0:20:57	181	0:50:49	161	1:11:46	172	0:33:04	177	163		40代男子	65
183	9262	白勢 信彦	62	男	神奈川	1:44:52	0:20:47	171	0:50:58	163	1:11:45	171	0:33:07	178	164		60代男子	10
184	9198	岩佐 直樹	49	男	東京	1:45:05	0:21:33	200	0:54:06	199	1:15:39	203	0:29:26	120	165		40代男子	66
185	9177	上村 昇	47	男	東京	1:45:13	0:18:00	95	0:50:27	153	1:08:27	127	0:36:46	217	166		40代男子	67
186	9053	大野 史顕	33	男	東京	1:45:58	0:19:53	143	0:50:10	146	1:10:03	151	0:35:55	209	167		30代男子	49
187	1016	山下 久美子	37	女	埼玉	1:45:59	0:21:19	193	0:49:33	137	1:10:52	160	0:35:07	204		20	30代女子	9
188	9221	一松 宏人	52	男	神奈川	1:46:03	0:20:56	180	0:51:37	176	1:12:33	178	0:33:30	183	168		50代男子	24
189	9110	宮本 智成	41	男	神奈川	1:46:19	0:23:57	233	0:54:14	203	1:18:11	221	0:28:08	93	169		40代男子	68
190	9238	宮岡 和彦	54	男	神奈川	1:46:22	0:14:12	18	0:55:05	211	1:09:17	138	0:37:05	219	170		50代男子	25
191	9228	井上 哲也	53	男	神奈川	1:46:30	0:20:41	168	0:50:47	160	1:11:28	168	0:35:02	202	171		50代男子	26
192	1038	田中 純子	47	女	神奈川	1:46:40	0:22:14	212	0:55:33	212	1:17:47	219	0:28:53	110		21	40代女子	9
193	1020	石田 千絵子	40	女	神奈川	1:46:58	0:22:18	214	0:56:12	218	1:18:30	223	0:28:28	102		22	40代女子	10
194	9261	佐々木 誠	62	男	神奈川	1:47:05	0:16:25	64	0:54:23	206	1:10:48	158	0:36:17	215	172		60代男子	11
195	9126	櫻井 政紀	43	男	神奈川	1:47:10	0:20:55	179	0:54:10	201	1:15:05	199	0:32:05	169	173		40代男子	69
196	9236	西邑 昭良	54	男	神奈川	1:47:15	0:20:02	146	0:51:10	170	1:11:12	166	0:36:03	212	174		50代男子	27
197	1031	佐々木 妙子	44	女	神奈川	1:47:35	0:22:50	224	0:54:17	205	1:17:07	213	0:30:28	147		23	40代女子	11
198	1041	伊藤 美保	50	女	東京	1:48:17	0:20:54	177	1:00:34	231	1:21:28	230	0:26:49	70		24	50代女子	1
199	9190	飯田 哲也	48	男	千葉	1:48:18	0:23:31	229	0:52:46	187	1:16:17	207	0:32:01	168	175		40代男子	70
200	9088	増田 憲彦	38	男	神奈川	1:48:48	0:24:41	238	0:48:50	126	1:13:31	185	0:35:17	205	176		30代男子	50
201	9184	畑岡 充	47	男	神奈川	1:48:55	0:21:16	190	0:51:32	174	1:12:48	180	0:36:07	213	177		40代男子	71
